id,institution_name,country,direct_author_count,total_author_count,direct_works_count,total_works_count,direct_citations,total_citations,num_children,num_ancestors,has_parent,is_parent
https://openalex.org/I4210128969,Alphabet (United States),United States,1,114,418,49611,19428,3705014,8,0,False,True
https://openalex.org/I1291425158,Google (United States),United States,73,87,45388,47266,3164107,3396078,6,1,True,True
https://openalex.org/I4210161460,OpenAI (United States),United States,67,67,276,276,87397,87397,0,0,False,False
https://openalex.org/I2803209242,University of California System,United States,2,53,42276,2154180,1181102,110220291,50,0,False,True
https://openalex.org/I97018004,Stanford University,United States,37,43,478128,540111,28663140,31625340,17,0,False,True
https://openalex.org/I63966007,Massachusetts Institute of Technology,United States,33,36,320426,337256,21168478,21995088,14,0,False,True
https://openalex.org/I1290206253,Microsoft (United States),United States,10,26,31142,58026,2094830,3703131,25,0,False,True
https://openalex.org/I4210090411,DeepMind (United Kingdom),United Kingdom,26,26,1927,1927,289508,289508,0,1,True,False
https://openalex.org/I95457486,"University of California, Berkeley",United States,25,25,396722,396722,22065548,22065548,9,1,True,True
https://openalex.org/I136199984,Harvard University,United States,14,25,683950,881685,44806563,52554837,19,0,False,True
https://openalex.org/I19820366,Chinese Academy of Sciences,China,9,23,860327,1391983,25095316,39059040,133,0,False,True
https://openalex.org/I1330989302,United States Department of Energy,United States,1,22,10060,649999,353625,25797565,86,1,True,True
https://openalex.org/I57206974,New York University,United States,19,22,255461,270079,11312113,12106808,6,0,False,True
https://openalex.org/I124357947,University of London,United Kingdom,1,20,89735,1039390,3491625,41221518,41,0,False,True
https://openalex.org/I4210114444,Meta (United States),United States,5,18,3333,7902,327254,856527,2,0,False,True
https://openalex.org/I205783295,Cornell University,United States,15,18,415481,443622,18954620,19529752,12,0,False,True
https://openalex.org/I74973139,Carnegie Mellon University,United States,15,15,140319,140319,7307478,7307478,7,0,False,True
https://openalex.org/I2799323385,Board of the Swiss Federal Institutes of Technology,Switzerland,1,14,10684,354313,413840,14919990,112,0,False,True
https://openalex.org/I40120149,University of Oxford,United Kingdom,13,13,414496,414496,19668926,19668926,17,0,False,True
https://openalex.org/I185261750,University of Toronto,Canada,13,13,500528,500528,20568623,20568623,5,0,False,True
https://openalex.org/I2252078561,Meta (Israel),Israel,13,13,4569,4569,529273,529273,0,1,True,False
https://openalex.org/I2801453606,Australian Government,Australia,1,12,2449,160679,53216,5972390,58,0,False,True
https://openalex.org/I48633490,Mass General Brigham,United States,2,12,4878,424057,194659,24805583,14,0,False,True
https://openalex.org/I4210113297,Google (United Kingdom),United Kingdom,11,11,734,734,75431,75431,0,2,True,False
https://openalex.org/I145311948,Johns Hopkins University,United States,10,11,438011,457785,22200886,22753696,12,0,False,True
https://openalex.org/I201448701,University of Washington,United States,9,10,476830,482435,22730490,22932370,11,0,False,True
https://openalex.org/I134446601,Berkeley College,United States,10,10,13748,13748,499026,499026,0,0,False,False
https://openalex.org/I99065089,Tsinghua University,China,9,9,321490,321490,8511431,8511431,16,0,False,True
https://openalex.org/I241749,University of Cambridge,United Kingdom,9,9,381372,381372,18008438,18008438,19,0,False,True
https://openalex.org/I149899117,Max Planck Society,Germany,4,9,231726,278071,8538462,11033968,103,0,False,True
https://openalex.org/I45129253,University College London,United Kingdom,8,9,485011,491254,19928401,20494065,15,1,True,True
https://openalex.org/I98677209,University of Edinburgh,United Kingdom,4,9,239482,262499,9188541,10281645,16,0,False,True
https://openalex.org/I2801851002,Harvard University Press,United States,9,9,154944,154944,6081751,6081751,0,1,True,False
https://openalex.org/I1292875679,Commonwealth Scientific and Industrial Research Organisation,Australia,3,8,98235,143301,4183681,5467396,36,2,True,True
https://openalex.org/I91136226,University of Sheffield,United Kingdom,8,8,163326,163326,5909290,5909290,3,0,False,True
https://openalex.org/I122411786,California Institute of Technology,United States,6,8,166716,235079,9610307,11886759,8,0,False,True
https://openalex.org/I592451,Indiana University,United States,2,8,65026,290232,1666544,10424735,13,1,True,True
https://openalex.org/I118347636,Australian National University,Australia,8,8,165278,165278,6130646,6130646,6,0,False,True
https://openalex.org/I35440088,ETH Zurich,Switzerland,8,8,197870,197870,8097922,8097922,105,1,True,True
https://openalex.org/I1283280774,Brigham and Women's Hospital,United States,6,7,191521,200394,11936261,12435552,4,1,True,True
https://openalex.org/I157725225,University of Illinois Urbana-Champaign,United States,7,7,309345,309345,12855969,12855969,5,1,True,True
https://openalex.org/I4210164937,Microsoft Research (United Kingdom),United Kingdom,7,7,14535,14535,908592,908592,1,1,True,True
https://openalex.org/I20089843,Princeton University,United States,7,7,190237,190237,10950427,10950427,3,0,False,True
https://openalex.org/I1322918889,United States Department of Veterans Affairs,United States,1,6,51334,92355,2089038,4130600,41,1,True,True
https://openalex.org/I1304256225,University of Wisconsin System,United States,1,6,6380,342512,252874,15401361,17,0,False,True
https://openalex.org/I4210140341,Allen Institute,United States,5,6,3608,12281,302926,760699,4,0,False,True
https://openalex.org/I2800403580,University of Minnesota System,United States,3,6,36830,357928,990299,15338041,16,0,False,True
https://openalex.org/I14243506,Hong Kong Polytechnic University,Hong Kong,6,6,127872,127872,3665093,3665093,0,0,False,False
https://openalex.org/I79576946,University of Pennsylvania,United States,6,6,370250,370250,18838663,18838663,1,0,False,True
https://openalex.org/I37461747,Wuhan University,China,6,6,187919,187919,3666015,3666015,4,0,False,True
https://openalex.org/I86519309,The University of Texas at Austin,United States,6,6,256107,256107,10268191,10268191,7,1,True,True
https://openalex.org/I4210110987,IIT@MIT,United States,6,6,12906,12906,601483,601483,0,1,True,False
