id,display_name,author_count
https://openalex.org/I4210109841,United States Bone and Joint Initiative,1
https://openalex.org/I74656192,University of Göttingen,1
https://openalex.org/I4402554120,Rutgers New Jersey Medical School,1
https://openalex.org/I8961855,Universidad Nacional Autónoma de México,1
https://openalex.org/I112584244,Camden County College,1
https://openalex.org/I2883434090,Bariloche Atomic Centre,1
https://openalex.org/I4210088053,Universitätsklinikum Erlangen,1
https://openalex.org/I36672615,Courant Institute of Mathematical Sciences,1
https://openalex.org/I3020504353,Fraunhofer Institute for Industrial Engineering,1
https://openalex.org/I79817857,University of Guelph,1
https://openalex.org/I4210121800,Chan Zuckerberg Initiative (United States),1
https://openalex.org/I4210121017,Gesellschaft für Fertigungstechnik und Entwicklung,1
https://openalex.org/I63190737,"University at Buffalo, State University of New York",1
https://openalex.org/I1311688040,Amazon (United States),1
https://openalex.org/I1289422878,Dartmouth–Hitchcock Medical Center,1
https://openalex.org/I36258959,"University of California, San Diego",1
https://openalex.org/I56934997,Changsha University of Science and Technology,1
https://openalex.org/I123534392,University of North Texas,1
https://openalex.org/I859038795,Virginia Tech,1
https://openalex.org/I4210150290,Murdoch Children's Research Institute,1
https://openalex.org/I74801974,The University of Tokyo,1
https://openalex.org/I2800300635,Edith Nourse Rogers Memorial Veterans Hospital,1
https://openalex.org/I4210146035,Gemeinschaftskrankenhaus Herdecke,1
https://openalex.org/I5847235,University of Petroleum and Energy Studies,1
https://openalex.org/I35440088,ETH Zurich,1
https://openalex.org/I59293822,St. Joseph’s Healthcare Hamilton,1
https://openalex.org/I858669146,Jefferson College,1
https://openalex.org/I2252078561,Meta (Israel),1
https://openalex.org/I86609021,Manaaki Whenua – Landcare Research,1
https://openalex.org/I889937125,National Patient Safety Foundation,1
https://openalex.org/I27837315,University of Michigan–Ann Arbor,1
https://openalex.org/I95297979,Canadian Blood Services,1
https://openalex.org/I2800387288,European Commission,1
https://openalex.org/I68891433,Indian Institute of Technology Delhi,1
https://openalex.org/I157227730,University of East London,1
https://openalex.org/I98251732,McMaster University,1
https://openalex.org/I4210137306,Stanford Medicine,1
https://openalex.org/I4210158686,303 Hospital of People's Liberation Army,1
https://openalex.org/I98677209,University of Edinburgh,1
https://openalex.org/I138006243,University of Arizona,1
https://openalex.org/I51713134,University of Colorado Anschutz Medical Campus,1
https://openalex.org/I4210092285,Mission Therapeutics (United Kingdom),1
https://openalex.org/I4210124610,Natera (United States),1
https://openalex.org/I4210164802,Mila - Quebec Artificial Intelligence Institute,1
https://openalex.org/I191208505,Xiamen University,1
https://openalex.org/I130828816,University of Leeds,1
https://openalex.org/I4387153999,Flatiron Institute,1
https://openalex.org/I4210101318,Hirslanden Klinik Beau-Site,1
https://openalex.org/I111088046,Boston University,1
https://openalex.org/I4210105714,Center for Human Genetics,1
https://openalex.org/I4210089305,"Dr. D. Y. Patil Medical College, Hospital and Research Centre",1
https://openalex.org/I4210160618,Huawei Technologies (United Kingdom),1
https://openalex.org/I45129253,University College London,1
https://openalex.org/I4210096386,Bridge University,1
https://openalex.org/I4210103136,Zebra Biologics (United States),1
https://openalex.org/I103531236,Boston College,1
https://openalex.org/I4210108542,Schlumberger (Ireland),1
https://openalex.org/I61544103,London Business School,1
https://openalex.org/I4210106239,Sulzer (Switzerland),1
https://openalex.org/I2801851002,Harvard University Press,1
https://openalex.org/I195460627,University of Aberdeen,1
https://openalex.org/I4210098467,CellCentric (United Kingdom),1
https://openalex.org/I4210165376,October 6 University,1
https://openalex.org/I51556381,University of Virginia,1
https://openalex.org/I40347166,University of Chicago,1
https://openalex.org/I4210137305,Federation for Self Financing Tertiary Education,1
https://openalex.org/I2802216851,University of Iowa Hospitals and Clinics,1
https://openalex.org/I85722119,UCB Pharma (Belgium),1
https://openalex.org/I17145004,Northwestern Polytechnical University,1
https://openalex.org/I4210156299,Joint Center for Artificial Photosynthesis,1
https://openalex.org/I4210093970,American Systems (United States),1
https://openalex.org/I4210110987,IIT@MIT,1
https://openalex.org/I2800403580,University of Minnesota System,1
https://openalex.org/I4210148049,Giessen School of Theology,1
https://openalex.org/I181369854,Friedrich-Alexander-Universität Erlangen-Nürnberg,1
https://openalex.org/I4210114088,Verwaltungs-Berufsgenossenschaft,1
https://openalex.org/I130701444,Georgia Institute of Technology,1
https://openalex.org/I4210106937,Medical Mission Institute,1
https://openalex.org/I79060951,East Stroudsburg University,1
https://openalex.org/I4210114444,Meta (United States),1
https://openalex.org/I2800655636,Royal Navy,1
https://openalex.org/I2802832906,Vancouver General Hospital,1
https://openalex.org/I114027177,University of North Carolina at Chapel Hill,1
https://openalex.org/I53276908,Marymount University,1
https://openalex.org/I119664326,University of Wolverhampton,1
https://openalex.org/I4210121988,Film Independent,1
https://openalex.org/I4210118357,White River Junction VA Medical Center,1
https://openalex.org/I4210090273,Madison Group (United States),1
https://openalex.org/I12315562,Texas Tech University,1
https://openalex.org/I4210126756,Vitalant,1
https://openalex.org/I4210141030,SickKids Foundation,1
https://openalex.org/I1304085615,Nvidia (United Kingdom),1
https://openalex.org/I4210134914,Babylon Health,1
https://openalex.org/I4210153776,Apple (United States),1
https://openalex.org/I84218800,"University of California, Davis",1
https://openalex.org/I25846049,National Tsing Hua University,1
https://openalex.org/I4210090056,Bedford VA Research Corporation,1
https://openalex.org/I157725225,University of Illinois Urbana-Champaign,1
