Author,No. Papers,Notes,OA_Profile,OA_ID,Papers
Saurav Kadavath,1,,https://openalex.org/A5061506488,A5061506488,4
Scott R. Johnston,1,,https://openalex.org/A5113030004,A5113030004,3
Shan Carter,1,,https://openalex.org/A5087762412,A5087762412,9
Shannon Yang,1,,https://openalex.org/A5037725211,A5037725211,4
Shauna Kravec,5,,https://openalex.org/A5009112681,A5009112681,"3, 4, 5, 6, 7"
Shula Marks,1,,https://openalex.org/A5109556682,A5109556682,10
Stuart J. Ritchie,1,,https://openalex.org/A5049097607,A5049097607,9
Sören Mindermann,3,,https://openalex.org/A5012960540,A5012960540,"4, 6, 10"
T. Maxwell,1,,https://openalex.org/A5108360703,A5108360703,3
Tamera Lanham,1,,https://openalex.org/A5022793124,A5022793124,6
Theodore R. Sumers,1,,https://openalex.org/A5115560625,A5115560625,9
Thomas I. Liao,2,,https://openalex.org/A5058639265,A5058639265,"1, 4"
Tim Belonax,1,,https://openalex.org/A5115560878,A5115560878,10
Tim Maxwell,1,,https://openalex.org/A5108519631,A5108519631,6
Timothy Telleen-Lawton,1,,https://openalex.org/A5001194068,A5001194068,4
Tom Henighan,1,,https://openalex.org/A5049786610,A5049786610,4
Tomasz Korbak,1,,https://openalex.org/A5002211679,A5002211679,3
Tristan Hume,1,,https://openalex.org/A5079539910,A5079539910,4
Wendy G. Mitchell,1,,https://openalex.org/A5036342509,A5036342509,9
William McEachen,1,,https://openalex.org/A5115560626,A5115560626,9
Yuntao Bai,2,,https://openalex.org/A5091860006,A5091860006,"4, 6"
Zac Hatfield-Dodds,3,,https://openalex.org/A5070402589,A5070402589,"1, 3, 4"
Zachary Witten,1,,https://openalex.org/A5093713873,A5093713873,6
