Author,No. Papers,Notes,OA_Profile,OA_ID,Papers
A K Rathi,1,,https://openalex.org/A5113184302,A5113184302,9
A. Callahan,1,,https://openalex.org/A5031192921,A5031192921,4
Adam S. Jermyn,1,,https://openalex.org/A5043387043,A5043387043,6
Akbir Khan,1,,https://openalex.org/A5084386381,A5084386381,10
Alex Tamkin,5,,https://openalex.org/A5081558429,A5081558429,"1, 2, 5, 7, 9"
Alfred Mountfield,1,,https://openalex.org/A5115560627,A5115560627,9
Amanda Askell,5,,https://openalex.org/A5030305998,A5030305998,"1, 3, 4, 5, 6"
Amirhossein Tajdini,1,,https://openalex.org/A5034337006,A5034337006,2
Anna Chen,1,,https://openalex.org/A5056436767,A5056436767,4
Anna Goldie,1,,https://openalex.org/A5088885573,A5088885573,4
Ansh Radhakrishnan,1,,https://openalex.org/A5104228508,A5104228508,6
Anton Bakhtin,1,,https://openalex.org/A5024680544,A5024680544,1
Avital Balwit,1,,https://openalex.org/A5093123090,A5093123090,4
Azalia Mirhoseini,1,,https://openalex.org/A5070731184,A5070731184,4
B. T. McLean,1,,https://openalex.org/A5113030770,A5113030770,4
Benjamin Fletcher Wright,1,,https://openalex.org/A5017222164,A5017222164,10
Benoit Steiner,1,,https://openalex.org/A5028992619,A5028992619,2
Brian Clarke,1,,https://openalex.org/A5075321113,A5075321113,9
Buck Shlegeris,3,,https://openalex.org/A5050408969,A5050408969,"6, 7, 10"
Carol Chen,1,,https://openalex.org/A5019382510,A5019382510,1
Carson Denison,3,,https://openalex.org/A5079864698,A5079864698,"6, 7, 10"
Cassie Evraets,1,,https://openalex.org/A5093123089,A5093123089,4
Catherine Olsson,1,,https://openalex.org/A5108225540,A5108225540,4
Cem Anil,2,,https://openalex.org/A5113854698,A5113854698,"2, 6"
Da Yan,1,,https://openalex.org/A5044218586,A5044218586,3
Daniel M. Ziegler,1,,https://openalex.org/A5109551394,A5109551394,6
Danny Hernandez,1,,https://openalex.org/A5030442997,A5030442997,1
David Duvenaud,4,,https://openalex.org/A5030409494,A5030409494,"3, 6, 7, 10"
Deep Ganguli,4,,https://openalex.org/A5006294201,A5006294201,"1, 5, 6, 9"
Dustin Li,1,,https://openalex.org/A5077427160,A5077427160,2
Eli Tran-Johnson,1,,https://openalex.org/A5072334146,A5072334146,4
Esin Durmus,6,,https://openalex.org/A5001994692,A5001994692,"1, 2, 3, 4, 5, 9"
Ethan Perez,6,,https://openalex.org/A5091112967,A5091112967,"2, 3, 4, 6, 7, 10"
Evan Hubinger,4,,https://openalex.org/A5025461840,A5025461840,"2, 6, 7, 10"
Evan Miller,1,,https://openalex.org/A5038728659,A5038728659,8
Fabien Roger,1,,https://openalex.org/A5028042353,A5028042353,10
Fazl Barez,2,,https://openalex.org/A5050436152,A5050436152,"6, 7"
Holden Karnofsky,1,,https://openalex.org/A5093713874,A5093713874,6
Jack A. Clark,1,,https://openalex.org/A5012713248,A5012713248,6
Jack Chen,1,,https://openalex.org/A5113648568,A5113648568,10
Jack Clark,1,,https://openalex.org/A5031107879,A5031107879,1
Jack Clark,1,,https://openalex.org/A5067800460,A5067800460,9
Jackson Kernion,1,,https://openalex.org/A5057116059,A5057116059,4
Jamie Kerr,1,,https://openalex.org/A5081035645,A5081035645,4
Jan Brauner,1,,https://openalex.org/A5030437398,A5030437398,6
Janel Thamkul,1,,https://openalex.org/A5092362960,A5092362960,1
Jared Kaplan,8,,https://openalex.org/A5053213601,A5053213601,"1, 2, 4, 5, 6, 7, 9, 10"
Jared Mueller,1,,https://openalex.org/A5070762421,A5070762421,9
Jesse Mu,1,,https://openalex.org/A5060578216,A5060578216,6
Jing Hong,1,,https://openalex.org/A5059202228,A5059202228,9
Johannes Treutlein,1,,https://openalex.org/A5047456114,A5047456114,10
Jonathan Uesato,1,,https://openalex.org/A5059226057,A5059226057,10
Juhan Bae,1,,https://openalex.org/A5078051293,A5078051293,2
Julian Michael,1,,https://openalex.org/A5072681909,A5072681909,10
Kamal Ndousse,3,,https://openalex.org/A5028970835,A5028970835,"3, 4, 6"
Kamilė Lukošiūtė,1,,https://openalex.org/A5025573579,A5025573579,2
Karina Nguyen,3,,https://openalex.org/A5032805177,A5032805177,"2, 4, 5"
Karina Nyugen,1,,https://openalex.org/A5092362961,A5092362961,1
Kshitij Sachan,1,,https://openalex.org/A5084231398,A5084231398,6
Kunal Handa,1,,https://openalex.org/A5036181983,A5036181983,9
Landon Goldberg,1,,https://openalex.org/A5015730722,A5015730722,9
Liane Lovitt,2,,https://openalex.org/A5026784501,A5026784501,"5, 9"
Liane Lovitt,1,,https://openalex.org/A5085473601,A5085473601,1
Linda Petrini,1,,https://openalex.org/A5115560877,A5115560877,10
Logan Graham,1,,https://openalex.org/A5041121552,A5041121552,6
Marina Favaro,1,,https://openalex.org/A5069116837,A5069116837,6
Meg Tong,2,,https://openalex.org/A5111092720,A5111092720,"3, 6"
Michael E. Stern,1,,https://openalex.org/A5024092541,A5024092541,9
Michael Sellitto,1,,https://openalex.org/A5085932648,A5085932648,6
Mike Lambert,1,,https://openalex.org/A5103263684,A5103263684,6
Miles McCain,1,,https://openalex.org/A5029616530,A5029616530,9
Miranda Zhang,1,,https://openalex.org/A5057999428,A5057999428,3
Monte MacDiarmid,3,,https://openalex.org/A5084608104,A5084608104,"6, 7, 10"
Mrinank Sharma,2,,https://openalex.org/A5003223014,A5003223014,"3, 6"
Nelson Elhage,2,,https://openalex.org/A5020683620,A5020683620,"2, 4"
Newton Cheng,3,,https://openalex.org/A5058959806,A5058959806,"3, 4, 6"
Nicholas Joseph,4,,https://openalex.org/A5032088236,A5032088236,"1, 2, 4, 5"
Nicholas Schiefer,5,,https://openalex.org/A5050348824,A5050348824,"1, 3, 4, 6, 7"
Nova DasSarma,1,,https://openalex.org/A5011723751,A5011723751,6
Nova DasSarma,1,,https://openalex.org/A5030783855,A5030783855,4
Oliver Rausch,2,,https://openalex.org/A5053939329,A5053939329,"3, 4"
Orowa Sikder,1,,https://openalex.org/A5072731542,A5072731542,1
Paul Christiano,1,,https://openalex.org/A5109502066,A5109502066,6
Robin J. Larson,1,,https://openalex.org/A5051064337,A5051064337,4
Roger Grosse,2,,https://openalex.org/A5067036768,A5067036768,"2, 6"
Ryan Greenblatt,2,,https://openalex.org/A5037548279,A5037548279,"6, 10"
Ryan Soklaski,1,,https://openalex.org/A5099241628,A5099241628,7
Saffron Huang,1,,https://openalex.org/A5040949100,A5040949100,9
Sam McCandlish,4,,https://openalex.org/A5054887773,A5054887773,"1, 2, 3, 4"
Samuel Marks,1,,https://openalex.org/A5032071922,A5032071922,7
Samuel R. Bowman,5,,https://openalex.org/A5112713734,A5112713734,"2, 3, 6, 7, 10"
Sandipan Kundu,1,,https://openalex.org/A5010007563,A5010007563,4
