Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,ID-1980,ID-1981,affiliation-1980,affiliation-1981,unique_affiliation_count,all_china,some_china,some_usa,all_usa,all_countries,affiliation_display_name_1981,affiliation_id_1981,affiliation_country_1981,affiliation_display_name_1980,affiliation_id_1980,affiliation_country_1980,affiliation_data,unique_country_count,Most Recent Affiliation Year,Most Recent Affiliation,Most Recent Affiliation Country,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1987,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1990,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1991,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1992,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1993,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1994,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1995,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1996,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1997,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1998,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1999,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_2000,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2001,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2002,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2003,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2004,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2005,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2006,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2007,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2008,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2009,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2010,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2011,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2012,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2013,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2014,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2015,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2016,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2017,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2018,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2019,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2020,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2021,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2022,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2023,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2024,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2025,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2026
C. Huang,1,,https://openalex.org/A5110696747,A5110696747,,C. Huang,"C. Huang, C.-W. Huang, Chong HUANG, Cooper, Daniel, Huang, Chengen",8,44,19.0,3,1,,,,,1,False,True,False,False,China,,,,,,,True,1,2021,Institute of Geographic Sciences and Natural Resources Research,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210160793,China,Institute of Geographic Sciences and Natural Resources Research,,,,,,,,,,,,,,,
Chang Gao,1,,https://openalex.org/A5112325299,A5112325299,,Chang Gao,"Chang Gao, Gao Chang, Gao, Chang, LEI Jianguo",42,231,2.7222222222222223,6,5,,,,,7,False,True,True,False,"China, United States",,,,,,,True,2,2026,State Nuclear Power Technology Company (China),China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210093413,United States,Advanced Science and Automation (United States),,,,https://openalex.org/I83714178,China,Shenyang Jianzhu University,https://openalex.org/I83714178,China,Shenyang Jianzhu University,https://openalex.org/I4210091550,China,Shanxi Provincial Traffic Planning Survey and Design Institute,,,,,,,,,,,,,https://openalex.org/I4800084,China,Southwest Jiaotong University,https://openalex.org/I4800084,China,Southwest Jiaotong University,,,,https://openalex.org/I180726961,China,Shenzhen University,https://openalex.org/I180726961,China,Shenzhen University,,,,https://openalex.org/I4210139507,China,State Nuclear Power Technology Company (China),https://openalex.org/I4210161003,China,Qingdao Center of Resource Chemistry and New Materials,https://openalex.org/I4800084,China,Southwest Jiaotong University,https://openalex.org/I4210139507,China,State Nuclear Power Technology Company (China)
Chang Zhou,2,,https://openalex.org/A5102025315,A5102025315,https://orcid.org/0000-0001-9241-702X,Chang Zhou,"C. Zhou, Catherine Zhou, Chang ZHOU, Chang Zhou, Changqiong Zhou, Shan-Gui Zhou, Tan, Chuanqi, Zhou, Chang",115,5220,7.84375,32,56,,,,,10,False,True,False,False,"China, Germany, Hong Kong",,,,,,,True,3,2026,Shanghai Liangyou (China),China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I176453806,Germany,University of Potsdam,,,,,,,,,,,,,,,,https://openalex.org/I187400657,China,South China Normal University,,,,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I82880672,China,Beihang University,https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I52158045,China,China Agricultural University,https://openalex.org/I76130692,China,Zhejiang University,https://openalex.org/I889458895,Hong Kong,University of Hong Kong,https://openalex.org/I4210105359,China,Shanghai Liangyou (China)
Chengqiang Lu,1,,https://openalex.org/A5103860397,A5103860397,,Chengqiang Lu,"C.-C. Lu, Cheng-Qiang Lu, Chengqiang Lu, Chengqiang Lu (8600949), Chengwei Lu, Lu, Chengqiang",41,750,1.5833333333333333,13,15,,,,,7,False,True,False,False,"Cayman Islands, China, Taiwan",,,,,,,True,3,2025,Sichuan Academy of Agricultural Sciences,China,,,,,,,,,,,,,https://openalex.org/I2803004286,Taiwan,Taipei Veterans General Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I7350606,China,Dalian Jiaotong University,,,,https://openalex.org/I126520041,China,University of Science and Technology of China,https://openalex.org/I126520041,China,University of Science and Technology of China,https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I126520041,China,University of Science and Technology of China,https://openalex.org/I4210086143,Cayman Islands,Alibaba Group (Cayman Islands),https://openalex.org/I4210163526,China,Sichuan Academy of Agricultural Sciences,,,
Chengyuan Li,2,,https://openalex.org/A5002944495,A5002944495,https://orcid.org/0000-0002-3084-5157,Chengyuan Li,"C Li, C. Li, Cheng-Yuan Li, Chengyuan Li, Chengyuan 程远 Li 李, Di Li, Li, Chengmingyue, Li, Chengyuan",141,1888,4.166666666666667,24,42,,,,,9,False,True,True,False,"Australia, China, The Netherlands, United States",,,,,,,True,4,2026,Tsinghua University,China,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I99043593,Australia,Macquarie University,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I126520041,China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,https://openalex.org/I146416000,United States,University of Kansas,https://openalex.org/I922237871,The Netherlands,Netherlands Institute for Radio Astronomy,https://openalex.org/I922237871,The Netherlands,Netherlands Institute for Radio Astronomy,https://openalex.org/I4210105842,China,Kavli Institute for Theoretical Sciences,https://openalex.org/I99043593,Australia,Macquarie University,https://openalex.org/I99043593,Australia,Macquarie University,https://openalex.org/I99043593,Australia,Macquarie University,https://openalex.org/I99043593,Australia,Macquarie University,https://openalex.org/I4210164580,China,National Astronomical Observatories,https://openalex.org/I99043593,Australia,Macquarie University,https://openalex.org/I99043593,Australia,Macquarie University,https://openalex.org/I4210138730,China,Hunan Communications Research Institute,https://openalex.org/I92403157,China,University of Science and Technology Beijing,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University
Cheng‐Peng Li,1,,https://openalex.org/A5041916202,A5041916202,https://orcid.org/0000-0002-6798-9541,Cheng‐Peng Li,"C. P. Li, Cheng-Peng Li, Cheng-peng Li, ChengPeng Li, Chengpeng LI, Chengpeng Li, Cheng‐Peng Li, Junmin Tian, Li, Cheng-Peng, Li, Chengpeng",437,9690,5.401960784313726,52,185,,,,,8,False,True,True,False,"China, United States",,,,,,,True,2,2026,Tianjin Normal University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I15062923,China,Tianjin Normal University,https://openalex.org/I15062923,China,Tianjin Normal University,https://openalex.org/I15062923,China,Tianjin Normal University,https://openalex.org/I79223203,China,Guangdong Ocean University,https://openalex.org/I79223203,China,Guangdong Ocean University,https://openalex.org/I162868743,China,Tianjin University,https://openalex.org/I79223203,China,Guangdong Ocean University,https://openalex.org/I38706770,China,Guilin University of Technology,https://openalex.org/I15062923,China,Tianjin Normal University,https://openalex.org/I79223203,China,Guangdong Ocean University,https://openalex.org/I4210153482,China,Changzhou University,https://openalex.org/I87780372,China,Chongqing Medical University,https://openalex.org/I4210127816,China,San’an Optoelectronics (China),https://openalex.org/I87780372,China,Chongqing Medical University,https://openalex.org/I79223203,China,Guangdong Ocean University,https://openalex.org/I79223203,China,Guangdong Ocean University,https://openalex.org/I79223203,China,Guangdong Ocean University,https://openalex.org/I79223203,China,Guangdong Ocean University,https://openalex.org/I86519309,United States,The University of Texas at Austin,https://openalex.org/I86519309,United States,The University of Texas at Austin,https://openalex.org/I79223203,China,Guangdong Ocean University,https://openalex.org/I86519309,United States,The University of Texas at Austin,https://openalex.org/I15062923,China,Tianjin Normal University
Chenxu Lv,1,,https://openalex.org/A5015300653,A5015300653,,Chenxu Lv,"Chenxu Lv, Lv, Chenxu",15,196,12.666666666666666,5,4,,,,,3,False,True,False,False,China,,,,,,,True,1,2025,Xinjiang University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210099373,China,Second Hospital of Hebei Medical University,https://openalex.org/I4210099373,China,Second Hospital of Hebei Medical University,,,,https://openalex.org/I119868032,China,Shanxi Agricultural University,,,,https://openalex.org/I96908189,China,Xinjiang University,,,
Chuanqi Tan,1,,https://openalex.org/A5065907658,A5065907658,https://orcid.org/0000-0002-6676-3057,Chuanqi Tan,"C.H. Tan, Chen, Huajun, Chen, Mosha, Chuanqi Tan, Hui Chen, Lu, Keming, Tan, Chuanqi, Wang, Chengyu, Wu, Jiancan, Zhang, Wen",104,4954,3.3333333333333335,32,52,,,,,4,False,True,True,False,"China, United States",,,,,,,True,2,2024,Alibaba Group (China),China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I157725225,United States,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I82880672,China,Beihang University,,,,https://openalex.org/I82880672,China,Beihang University,https://openalex.org/I82880672,China,Beihang University,https://openalex.org/I82880672,China,Beihang University,https://openalex.org/I82880672,China,Beihang University,https://openalex.org/I82880672,China,Beihang University,https://openalex.org/I76130692,China,Zhejiang University,https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I45928872,China,Alibaba Group (China),,,,,,
Chujie Zheng,1,,https://openalex.org/A5016924921,A5016924921,https://orcid.org/0000-0002-7364-972X,Chujie Zheng,"Chujie Zheng, Cui, Shiyao, Hu, Feng, Zheng, Chujie, Zu, Wenqiang",54,1048,3.3529411764705883,16,19,,,,,2,False,True,False,False,China,,,,,,,True,1,2025,Alibaba Group (China),China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,,,,https://openalex.org/I45928872,China,Alibaba Group (China),,,
Dayiheng Liu,5,,https://openalex.org/A5062188134,A5062188134,https://orcid.org/0000-0002-8755-8941,Dayiheng Liu,"Chen, Weizhu, Dayiheng Liu, Gao, Yang, Lin, Junyang, Liu, Dayiheng, Yu, Bowen",135,1683,6.551020408163265,22,38,,,,,5,False,True,True,False,"China, United States",,,,,,,True,2,2025,Alibaba Group (China),China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I24185976,China,Sichuan University,,,,https://openalex.org/I4210125143,China,Chengdu University,https://openalex.org/I4391767678,China,State Key Laboratory of Hydraulics and Mountain River Engineering,https://openalex.org/I4210125143,China,Chengdu University,https://openalex.org/I4210125143,China,Chengdu University,https://openalex.org/I4210095624,United States,Alibaba Group (United States),https://openalex.org/I4210095624,United States,Alibaba Group (United States),https://openalex.org/I4210125143,China,Chengdu University,https://openalex.org/I45928872,China,Alibaba Group (China),,,
