Author,No. Papers,Notes,OA_Profile,OA_ID,Papers
:,1,,https://openalex.org/A9999999999,A9999999999,3
An Yang,2,,https://openalex.org/A5110994152,A5110994152,"5, 6"
Anfeng Li,1,,https://openalex.org/A5034609763,A5034609763,5
B. X. Yu,1,,https://openalex.org/A5080178313,A5080178313,5
B. Zheng,1,,https://openalex.org/A5050479679,A5050479679,3
Baosong Yang,4,,https://openalex.org/A5028040391,A5028040391,"2, 3, 5, 6"
Beichen Zhang,2,,https://openalex.org/A5101849102,A5101849102,"3, 5"
Benfeng Xu,1,,https://openalex.org/A5085563247,A5085563247,1
Binyuan Hui,4,,https://openalex.org/A5080628250,A5080628250,"1, 2, 3, 5"
Bo Zheng,2,,https://openalex.org/A5022217475,A5022217475,"2, 5"
Bowen Yu,4,,https://openalex.org/A5101188063,A5101188063,"1, 2, 3, 6"
C. Huang,1,,https://openalex.org/A5110696747,A5110696747,5
Chang Gao,1,,https://openalex.org/A5112325299,A5112325299,5
Chang Zhou,2,,https://openalex.org/A5102025315,A5102025315,"1, 2"
Chen Cheng,1,,,,6
Chengqiang Lu,1,,https://openalex.org/A5103860397,A5103860397,1
Chengyuan Li,2,,https://openalex.org/A5002944495,A5002944495,"2, 3"
Cheng‐Peng Li,1,,https://openalex.org/A5041916202,A5041916202,2
Chenhan Yuan,1,,,,6
Chenxu Lv,1,,https://openalex.org/A5015300653,A5015300653,5
Chuanqi Tan,1,,https://openalex.org/A5065907658,A5065907658,1
Chujie Zheng,1,,https://openalex.org/A5016924921,A5016924921,5
Dayiheng Liu,5,,https://openalex.org/A5062188134,A5062188134,"1, 2, 3, 5, 6"
Fan Yang,4,,https://openalex.org/A5115602252,A5115602252,"1, 2, 3, 5"
Fan Zhou,1,,https://openalex.org/A5100403505,A5100403505,5
Fei Huang,5,,https://openalex.org/A5101488344,A5101488344,"1, 2, 3, 5, 6"
Gao Liu,1,,https://openalex.org/A5100682324,A5100682324,1
Guanglong Dong,1,,https://openalex.org/A5109473960,A5109473960,2
H Feng,1,,https://openalex.org/A5052412837,A5052412837,5
Haiquan Zhao,1,,,,6
Haiyang Xu,1,,https://openalex.org/A5100642201,A5100642201,4
Han Yu,1,,https://openalex.org/A5102516031,A5102516031,1
Hao Ge,1,,https://openalex.org/A5036154095,A5036154095,5
Haoran Wei,3,,https://openalex.org/A5107950823,A5107950823,"2, 3, 5"
Hongyi Yuan,1,,https://openalex.org/A5109367486,A5109367486,1
Hua Zhong,1,,https://openalex.org/A5101663416,A5101663416,4
Huan Lin,1,,https://openalex.org/A5113431179,A5113431179,2
Huancai Lin,1,,https://openalex.org/A5071834880,A5071834880,3
Jiabo Ye,1,,https://openalex.org/A5091465907,A5091465907,4
Jialin Wang,2,,https://openalex.org/A5114941909,A5114941909,"2, 4"
Jialong Tang,3,,https://openalex.org/A5101306060,A5101306060,"2, 5, 6"
Jian Yang,4,,https://openalex.org/A5101503975,A5101503975,"1, 2, 3, 5"
Jiandong Jiang,1,,,,6
Jianhong Tu,4,,https://openalex.org/A5082583725,A5082583725,"1, 2, 3, 5"
Jianqiang Wan,1,,https://openalex.org/A5111582686,A5111582686,4
Jianwei Zhang,5,,https://openalex.org/A5100326965,A5100326965,"1, 2, 3, 5, 6"
Jianxin Ma,2,,https://openalex.org/A5069139054,A5069139054,"1, 2"
Jianxin Yang,3,,https://openalex.org/A5107900064,A5107900064,"2, 3, 5"
Jiaxi Yang,2,,https://openalex.org/A5008284896,A5008284896,"3, 5"
Jijie Xu,1,,,,6
Jin Xu,1,,https://openalex.org/A5007056124,A5007056124,1
Jing Zhou,1,,https://openalex.org/A5107979503,A5107979503,5
Jingren Zhou,5,,https://openalex.org/A5057864403,A5057864403,"1, 2, 3, 5, 6"
Jinze Bai,2,,https://openalex.org/A5063334231,A5063334231,"1, 2"
Jinzheng He,1,,https://openalex.org/A5113338567,A5113338567,2
Jun Tang,1,,https://openalex.org/A5103106936,A5103106936,4
Juntang Lin,1,,https://openalex.org/A5068166551,A5068166551,4
Junyang Lin,5,,https://openalex.org/A5100612233,A5100612233,"1, 2, 3, 5, 6"
Kai Dang,5,,https://openalex.org/A5014400759,A5014400759,"1, 2, 3, 4, 5"
Keming Lu,3,,https://openalex.org/A5110849478,A5110849478,"1, 2, 3"
Keqin Bao,2,,https://openalex.org/A5112721410,A5112721410,"3, 5"
Keqin Chen,2,,https://openalex.org/A5101609559,A5101609559,"2, 4"
Kexin Yang,3,,https://openalex.org/A5075867408,A5075867408,"2, 3, 5"
Le Yu,2,,https://openalex.org/A5102521102,A5102521102,"3, 5"
Lin Huan,1,,https://openalex.org/A5041942277,A5041942277,5
Linyu Deng,1,,https://openalex.org/A5029086379,A5029086379,5
Luo Ji,1,,https://openalex.org/A5107942598,A5107942598,1
Mei Li,4,,https://openalex.org/A5100331933,A5100331933,"1, 2, 3, 5"
Ming Yan,1,,,,6
Mingfeng Xue,3,,https://openalex.org/A5004278931,A5004278931,"2, 3, 5"
Mingkun Yang,1,,https://openalex.org/A5062346032,A5062346032,4
Mingze Li,1,,https://openalex.org/A5100622001,A5100622001,5
Minmin Sun,1,,,,6
Na Ni,1,,https://openalex.org/A5103193657,A5103193657,2
Pei Zhang,4,,https://openalex.org/A5112320629,A5112320629,"2, 3, 5, 6"
Peng Wang,4,,https://openalex.org/A5100396049,A5100396049,"1, 2, 4, 5"
Pengfei Wang,1,,https://openalex.org/A5100399575,A5100399575,4
Pengjun Xie,1,,,,6
Qiaoyu Tang,1,,,,6
Qin Zhu,3,,https://openalex.org/A5101937362,A5101937362,"3, 5, 6"
Qwen,1,,https://openalex.org/A5115572560,A5115572560,3
Rong Zhang,1,,,,6
Ru Peng,1,,https://openalex.org/A5113250941,A5113250941,2
Rui Men,4,,https://openalex.org/A5004626105,A5004626105,"1, 2, 3, 5"
Ruize Gao,2,,https://openalex.org/A5087464603,A5087464603,"2, 5"
Runji Lin,3,,https://openalex.org/A5003991609,A5003991609,"1, 2, 3"
Shengguang Wu,1,,https://openalex.org/A5072904443,A5072904443,1
Shibin Wu,1,,,,6
Shijie Wang,3,,https://openalex.org/A5100762074,A5100762074,"1, 2, 4"
Shixuan Liu,1,,https://openalex.org/A5101707300,A5101707300,5
Shuai Bai,3,,https://openalex.org/A5101014470,A5101014470,"1, 2, 4"
Shuang Luo,1,,https://openalex.org/A5008824608,A5008824608,5
Shuo Zhang,1,,,,6
Shusheng Yang,1,,https://openalex.org/A5004788654,A5004788654,1
Sibo Song,1,,https://openalex.org/A5102334026,A5102334026,4
Sinan Tan,2,,https://openalex.org/A5008661936,A5008661936,"1, 2"
Su Yang,2,,https://openalex.org/A5101248866,A5101248866,"3, 5"
Tao He,1,,,,6
Tianbao Xie,1,,https://openalex.org/A5103373480,A5103373480,4
Tianhang Zhu,2,,https://openalex.org/A5111138043,A5111138043,"1, 2"
Tianhao Li,3,,https://openalex.org/A5016521877,A5016521877,"2, 3, 5"
Tianyang Xia,1,,https://openalex.org/A5108673674,A5108673674,3
Tianyi Tang,2,,https://openalex.org/A5102952551,A5102952551,"5, 6"
Tianyu Liu,1,,https://openalex.org/A5102740648,A5102740648,2
Tingyu Xia,1,,,,6
Wei Ding,1,,https://openalex.org/A5066638397,A5066638397,4
Wei Liao,1,,,,6
Wei Wang,1,,https://openalex.org/A5100391896,A5100391896,1
Weizhou Shen,1,,,,6
Wenbiao Yin,2,,https://openalex.org/A5004964825,A5004964825,"5, 6"
Wenbin Ge,3,,https://openalex.org/A5013425805,A5013425805,"1, 2, 4"
Wenmeng Zhou,1,,,,6
Wenyuan Yu,1,,,,6
X.-C. Zhang,1,,https://openalex.org/A5087184425,A5087184425,4
Xiaobin Wang,1,,,,6
Xiaodong Deng,3,,https://openalex.org/A5077242351,A5077242351,"1, 2, 6"
Xiaodong Xu,1,,,,6
Xiaohuan Zhou,2,,https://openalex.org/A5042419848,A5042419848,"1, 2"
Xiaomeng Hu,1,,,,6
Xingxuan Zhang,1,,https://openalex.org/A5054452505,A5054452505,1
Xingzhang Ren,4,,https://openalex.org/A5054086732,A5054086732,"1, 2, 3, 5"
Xinyu Wang,1,,https://openalex.org/A5016518215,A5016518215,5
Xinyu Zhang,3,,https://openalex.org/A5113282767,A5113282767,"2, 5, 6"
Xipin Wei,1,,https://openalex.org/A5114209988,A5114209988,2
Xu Jin,1,,https://openalex.org/A5040380861,A5040380861,2
Xuancheng Ren,4,,https://openalex.org/A5049239373,A5049239373,"1, 2, 3, 5"
Xuejing Liu,2,,https://openalex.org/A5101944063,A5101944063,"2, 4"
Yang An,3,,https://openalex.org/A5100459627,A5100459627,"1, 2, 3"
Yang Hao,1,,https://openalex.org/A5111385619,A5111385619,1
Yang Liu,1,,,,6
Yang Yao,1,,https://openalex.org/A5103898808,A5103898808,1
Yao Yang,1,,https://openalex.org/A5102228653,A5102228653,2
Yeqiu Li,1,,,,6
Yi Zhang,1,,,,6
Yichang Zhang,5,,https://openalex.org/A5013763116,A5013763116,"1, 2, 3, 5, 6"
Yinger Zhang,1,,https://openalex.org/A5008134938,A5008134938,5
Yong Jiang,1,,,,6
Yu Wan,3,,https://openalex.org/A5102730714,A5102730714,"2, 5, 6"
Yuanzhi Zhu,1,,https://openalex.org/A5011605104,A5011605104,4
Yuanzhong Xu,1,,https://openalex.org/A5059281265,A5059281265,4
Yunfei Chu,2,,https://openalex.org/A5111905144,A5111905144,"1, 2"
Yuqin Wan,1,,https://openalex.org/A5017645661,A5017645661,3
Yuqiong Liu,3,,https://openalex.org/A5001634411,A5001634411,"2, 3, 5"
Yuxin Zhou,1,,,,6
Zekun Wang,1,,https://openalex.org/A5055261249,A5055261249,5
Zeyu Cui,4,,https://openalex.org/A5101250820,A5101250820,"1, 2, 3, 5"
Zhang Hang,1,,https://openalex.org/A5062819361,A5062819361,4
Zhangping Fu,1,,https://openalex.org/A5055194387,A5055194387,4
Zhaohai Li,1,,https://openalex.org/A5112985512,A5112985512,4
Zheng Yuan,1,,https://openalex.org/A5020682113,A5020682113,1
Zhenru Zhang,4,,https://openalex.org/A5032572801,A5032572801,"1, 2, 3, 5"
Zhibo Yang,1,,https://openalex.org/A5052757063,A5052757063,4
Zhifang Guo,1,,https://openalex.org/A5114164809,A5114164809,2
Zhihao Fan,1,,https://openalex.org/A5078689432,A5078689432,2
Zhipeng Zhou,1,,https://openalex.org/A5101531952,A5101531952,5
