Author,OA_Profile,Geographic Trajectory,Years in the US,Years in China,Geographic Trajectory (simplified),Geographic Trajectory (even more simplified),1980,1981,1987,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Shijie Wang,https://openalex.org/A5100762074,China ---> Venezuela ---> Singapore ---> Venezuela ---> China ---> Singapore ---> China ---> Belgium ---> China ---> Taiwan,0,22,Multinational Travel ---> Taiwan,"Started in China, Ended up in Taiwan",,,,,China,,,,,China,,,,China,China,Venezuela,Singapore,Venezuela,China,China,Singapore,China,China,China,China,China,China,China,China,China,Belgium,China,China,China,China,China,China,China,Taiwan,
Shixuan Liu,https://openalex.org/A5101707300,China,0,7,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,China,China,China,China,China,China,
Shuai Bai,https://openalex.org/A5101014470,China ---> Cayman Islands ---> China,0,8,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,China,,,,,,,,,China,,,,China,China,Cayman Islands,China,China,China,China,
Shuang Luo,https://openalex.org/A5008824608,United States ---> China,1,13,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,,,,,,,,,,,,,United States,,,,,,,,,,China,China,China,China,China,China,China,China,China,China,China,China,China,
Shusheng Yang,https://openalex.org/A5004788654,China ---> United States ---> China ---> United States,2,16,Multinational Travel ---> United States,"Started in China, Ended up in United States",,,,,,,,,,,,,,,,,,,,China,China,China,China,,,China,China,China,China,China,United States,China,China,China,China,China,China,China,United States,
Sibo Song,https://openalex.org/A5102334026,Singapore ---> United States ---> China ---> United States ---> China,4,2,Multinational Travel ---> China,"Started in Singapore, Ended up in China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Singapore,Singapore,Singapore,Singapore,United States,United States,,China,United States,United States,China,
Sinan Tan,https://openalex.org/A5008661936,China,0,5,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,China,China,,
Su Yang,https://openalex.org/A5101248866,China ---> Taiwan ---> China,0,5,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,Taiwan,,,,,China,China,China,
Tianbao Xie,https://openalex.org/A5103373480,United States ---> China,10,4,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,United States,,United States,,United States,United States,,United States,United States,,United States,United States,United States,United States,,,,,,,,,,,,China,,,,,China,,,China,China,
Tianhang Zhu,https://openalex.org/A5111138043,China,0,2,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,
