Author,OA_ID,unique_affiliation_count,all_china,some_china,some_usa,all_usa,all_countries,affiliation_display_name_2026,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2025,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2024,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2023,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2022,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2021,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2020,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2019,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2018,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2017,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2016,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2015,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2014,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2013,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2012,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2011,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2010,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2009,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2008,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2007,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2006,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2005,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2004,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2003,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2002,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2001,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2000,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_1999,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1998,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1997,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1996,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1995,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1994,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1993,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1992,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1991,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1990,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1987,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1981,affiliation_id_1981,affiliation_country_1981,affiliation_display_name_1980,affiliation_id_1980,affiliation_country_1980
C. Huang,A5110696747,1,True,True,False,False,China,,,,,,,,,,,,,,,,Institute of Geographic Sciences and Natural Resources Research,https://openalex.org/I4210160793,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chang Gao,A5112325299,7,False,True,True,False,China; United States,State Nuclear Power Technology Company (China),https://openalex.org/I4210139507,China,Southwest Jiaotong University,https://openalex.org/I4800084,China,Qingdao Center of Resource Chemistry and New Materials,https://openalex.org/I4210161003,China,State Nuclear Power Technology Company (China),https://openalex.org/I4210139507,China,,,,Shenzhen University,https://openalex.org/I180726961,China,Shenzhen University,https://openalex.org/I180726961,China,,,,Southwest Jiaotong University,https://openalex.org/I4800084,China,Southwest Jiaotong University,https://openalex.org/I4800084,China,,,,,,,,,,,,,Shanxi Provincial Traffic Planning Survey and Design Institute,https://openalex.org/I4210091550,China,Shenyang Jianzhu University,https://openalex.org/I83714178,China,Shenyang Jianzhu University,https://openalex.org/I83714178,China,,,,Advanced Science and Automation (United States),https://openalex.org/I4210093413,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chang Zhou,A5102025315,10,False,True,False,False,China; Germany; Hong Kong,Shanghai Liangyou (China),https://openalex.org/I4210105359,China,University of Hong Kong,https://openalex.org/I889458895,Hong Kong,Zhejiang University,https://openalex.org/I76130692,China,China Agricultural University,https://openalex.org/I52158045,China,Alibaba Group (China),https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I45928872,China,Tsinghua University,https://openalex.org/I99065089,China,Alibaba Group (China),https://openalex.org/I45928872,China,Beihang University,https://openalex.org/I82880672,China,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,,,,South China Normal University,https://openalex.org/I187400657,China,,,,,,,,,,,,,,,,University of Potsdam,https://openalex.org/I176453806,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chengqiang Lu,A5103860397,7,False,True,False,False,Cayman Islands; China; Taiwan,,,,Sichuan Academy of Agricultural Sciences,https://openalex.org/I4210163526,China,Alibaba Group (Cayman Islands),https://openalex.org/I4210086143,Cayman Islands,University of Science and Technology of China,https://openalex.org/I126520041,China,Alibaba Group (China),https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I45928872,China,University of Science and Technology of China,https://openalex.org/I126520041,China,University of Science and Technology of China,https://openalex.org/I126520041,China,,,,Dalian Jiaotong University,https://openalex.org/I7350606,China,,,,,,,,,,,,,,,,,,,,,,,,,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taipei Veterans General Hospital,https://openalex.org/I2803004286,Taiwan,,,,,,,,,,,,,,,,,,
Chengyuan Li,A5002944495,9,False,True,True,False,Australia; China; The Netherlands; United States,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,University of Science and Technology Beijing,https://openalex.org/I92403157,China,Hunan Communications Research Institute,https://openalex.org/I4210138730,China,Macquarie University,https://openalex.org/I99043593,Australia,Macquarie University,https://openalex.org/I99043593,Australia,National Astronomical Observatories,https://openalex.org/I4210164580,China,Macquarie University,https://openalex.org/I99043593,Australia,Macquarie University,https://openalex.org/I99043593,Australia,Macquarie University,https://openalex.org/I99043593,Australia,Macquarie University,https://openalex.org/I99043593,Australia,Kavli Institute for Theoretical Sciences,https://openalex.org/I4210105842,China,Netherlands Institute for Radio Astronomy,https://openalex.org/I922237871,The Netherlands,Netherlands Institute for Radio Astronomy,https://openalex.org/I922237871,The Netherlands,University of Kansas,https://openalex.org/I146416000,United States,,,,,,,,,,,,,,,,,,,University of Science and Technology of China,https://openalex.org/I126520041,China,,,,,,,,,,,,,,,,,,,,,,Macquarie University,https://openalex.org/I99043593,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheng‐Peng Li,A5041916202,8,False,True,True,False,China; United States,Tianjin Normal University,https://openalex.org/I15062923,China,The University of Texas at Austin,https://openalex.org/I86519309,United States,Guangdong Ocean University,https://openalex.org/I79223203,China,The University of Texas at Austin,https://openalex.org/I86519309,United States,The University of Texas at Austin,https://openalex.org/I86519309,United States,Guangdong Ocean University,https://openalex.org/I79223203,China,Guangdong Ocean University,https://openalex.org/I79223203,China,Guangdong Ocean University,https://openalex.org/I79223203,China,Guangdong Ocean University,https://openalex.org/I79223203,China,Chongqing Medical University,https://openalex.org/I87780372,China,San’an Optoelectronics (China),https://openalex.org/I4210127816,China,Chongqing Medical University,https://openalex.org/I87780372,China,Changzhou University,https://openalex.org/I4210153482,China,Guangdong Ocean University,https://openalex.org/I79223203,China,Tianjin Normal University,https://openalex.org/I15062923,China,Guilin University of Technology,https://openalex.org/I38706770,China,Guangdong Ocean University,https://openalex.org/I79223203,China,Tianjin University,https://openalex.org/I162868743,China,Guangdong Ocean University,https://openalex.org/I79223203,China,Guangdong Ocean University,https://openalex.org/I79223203,China,Tianjin Normal University,https://openalex.org/I15062923,China,Tianjin Normal University,https://openalex.org/I15062923,China,Tianjin Normal University,https://openalex.org/I15062923,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenxu Lv,A5015300653,3,True,True,False,False,China,,,,Xinjiang University,https://openalex.org/I96908189,China,,,,Shanxi Agricultural University,https://openalex.org/I119868032,China,,,,Second Hospital of Hebei Medical University,https://openalex.org/I4210099373,China,Second Hospital of Hebei Medical University,https://openalex.org/I4210099373,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuanqi Tan,A5065907658,4,False,True,True,False,China; United States,,,,,,,Alibaba Group (China),https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I45928872,China,Zhejiang University,https://openalex.org/I76130692,China,Beihang University,https://openalex.org/I82880672,China,Beihang University,https://openalex.org/I82880672,China,Beihang University,https://openalex.org/I82880672,China,Beihang University,https://openalex.org/I82880672,China,Beihang University,https://openalex.org/I82880672,China,,,,Beihang University,https://openalex.org/I82880672,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Illinois Urbana-Champaign,https://openalex.org/I157725225,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chujie Zheng,A5016924921,2,True,True,False,False,China,,,,Alibaba Group (China),https://openalex.org/I45928872,China,,,,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayiheng Liu,A5062188134,5,False,True,True,False,China; United States,,,,Alibaba Group (China),https://openalex.org/I45928872,China,Chengdu University,https://openalex.org/I4210125143,China,Alibaba Group (United States),https://openalex.org/I4210095624,United States,Alibaba Group (United States),https://openalex.org/I4210095624,United States,Chengdu University,https://openalex.org/I4210125143,China,Chengdu University,https://openalex.org/I4210125143,China,State Key Laboratory of Hydraulics and Mountain River Engineering,https://openalex.org/I4391767678,China,Chengdu University,https://openalex.org/I4210125143,China,,,,Sichuan University,https://openalex.org/I24185976,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
