Author,OA_ID,unique_affiliation_count,all_china,some_china,some_usa,all_usa,all_countries,affiliation_display_name_2026,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2025,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2024,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2023,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2022,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2021,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2020,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2019,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2018,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2017,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2016,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2015,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2014,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2013,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2012,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2011,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2010,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2009,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2008,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2007,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2006,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2005,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2004,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2003,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2002,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2001,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2000,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_1999,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1998,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1997,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1996,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1995,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1994,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1993,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1992,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1991,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1990,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1987,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1981,affiliation_id_1981,affiliation_country_1981,affiliation_display_name_1980,affiliation_id_1980,affiliation_country_1980
Fan Yang,A5115602252,13,False,True,True,False,China; United States,Beijing Institute of Technology,https://openalex.org/I125839683,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Air Force Medical University,https://openalex.org/I9916479,China,Nanjing Medical University,https://openalex.org/I83519826,China,Nanjing Medical University,https://openalex.org/I83519826,China,Nanjing Medical University,https://openalex.org/I83519826,China,Nanjing Medical University,https://openalex.org/I83519826,China,South China University of Technology,https://openalex.org/I90610280,China,Air Force Medical University,https://openalex.org/I9916479,China,Nanjing Medical University,https://openalex.org/I83519826,China,Nanjing Medical University,https://openalex.org/I83519826,China,China National Petroleum Corporation (China),https://openalex.org/I98227222,China,Tsinghua University,https://openalex.org/I99065089,China,Shanghai Stomatological Hospital,https://openalex.org/I4210091343,China,Wuhan University of Science and Technology,https://openalex.org/I43922553,China,Tongji Hospital,https://openalex.org/I4210160344,China,Menlo School,https://openalex.org/I4210099336,United States,University of Wisconsin–Madison,https://openalex.org/I135310074,United States,West China Hospital of Sichuan University,https://openalex.org/I4210089761,China,Tsinghua University,https://openalex.org/I99065089,China,,,,,,,,,,,,,Albany Medical Center Hospital,https://openalex.org/I77920804,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan Zhou,A5100403505,16,False,True,True,False,China; United Kingdom; United States; Uzbekistan,National University of Uzbekistan,https://openalex.org/I47151758,Uzbekistan,Shanghai Maritime University,https://openalex.org/I96733725,China,Dalian Polytechnic University,https://openalex.org/I88372448,China,Tsinghua University,https://openalex.org/I99065089,China,Northeastern University,https://openalex.org/I9224756,China,Southeast University,https://openalex.org/I76569877,China,Southeast University,https://openalex.org/I76569877,China,Southeast University,https://openalex.org/I76569877,China,Southeast University,https://openalex.org/I76569877,China,Stanford University,https://openalex.org/I97018004,United States,Nanjing Drum Tower Hospital,https://openalex.org/I4210111013,China,Communication University of Zhejiang,https://openalex.org/I4210141176,China,Shenyang Ligong University,https://openalex.org/I116036724,China,West China Second University Hospital of Sichuan University,https://openalex.org/I4210089228,China,Hengyang Academy of Agricultural Sciences,https://openalex.org/I4210151926,China,Dalian Minzu University,https://openalex.org/I61565387,China,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,Shenyang Ligong University,https://openalex.org/I116036724,China,,,,,,,,,,,,,,,,,,,,,,University of Southampton,https://openalex.org/I43439940,United Kingdom,,,,,,,,,,Tsinghua University,https://openalex.org/I99065089,China,,,,Beijing Institute of Optoelectronic Technology,https://openalex.org/I4210089040,China,,,,,,,,,,,,,,,,,,,,,,,,
Fei Huang,A5101488344,10,False,True,True,False,China; United States,Alibaba Group (China),https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I45928872,China,Tsinghua University,https://openalex.org/I99065089,China,Alibaba Group (China),https://openalex.org/I45928872,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,,,,Fudan University,https://openalex.org/I24943067,China,Fudan University,https://openalex.org/I24943067,China,Meta (United States),https://openalex.org/I4210114444,United States,Meta (United States),https://openalex.org/I4210114444,United States,Temple University,https://openalex.org/I84392919,United States,Temple University,https://openalex.org/I84392919,United States,Temple University,https://openalex.org/I84392919,United States,Temple University,https://openalex.org/I84392919,United States,Temple University,https://openalex.org/I84392919,United States,IBM Research - Thomas J. Watson Research Center,https://openalex.org/I4210114115,United States,University of Electronic Science and Technology of China,https://openalex.org/I150229711,China,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Air Force Engineering University,https://openalex.org/I4210104252,China,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Yan'an University,https://openalex.org/I4210102412,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gao Liu,A5100682324,15,False,True,True,False,China; Germany; Sweden; United States,,,,Southeast University,https://openalex.org/I76569877,China,Southeast University,https://openalex.org/I76569877,China,Florida Atlantic University,https://openalex.org/I63772739,United States,Florida Atlantic University,https://openalex.org/I63772739,United States,Lanzhou University,https://openalex.org/I76214153,China,Second Xiangya Hospital of Central South University,https://openalex.org/I4210153856,China,Xiangya Hospital Central South University,https://openalex.org/I4210159865,China,Hubei University,https://openalex.org/I75900474,China,Hubei University,https://openalex.org/I75900474,China,Florida Atlantic University,https://openalex.org/I63772739,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,University of Missouri–Kansas City,https://openalex.org/I75421653,United States,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Lanzhou University,https://openalex.org/I76214153,China,Shaanxi Research Association for Women and Family,https://openalex.org/I4210126653,China,"University of California, Berkeley",https://openalex.org/I95457486,United States,PDL BioPharma (United States),https://openalex.org/I4210152047,United States,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,Michigan State University,https://openalex.org/I87216513,United States,KTH Royal Institute of Technology,https://openalex.org/I86987016,Sweden,Michigan State University,https://openalex.org/I87216513,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,,,,Central Institute for Art History,https://openalex.org/I4210162776,Germany,,,,,,,,,,,,,"University of California, Berkeley",https://openalex.org/I95457486,United States,,,,,,,,,,,,,,,,,,,,,,,,
Guanglong Dong,A5109473960,3,True,True,False,False,China,,,,Shijiazhuang Tiedao University,https://openalex.org/I90090648,China,,,,,,,,,,Tangshan People's Hospital,https://openalex.org/I4210097637,China,Tangshan People's Hospital,https://openalex.org/I4210097637,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tangshan People's Hospital,https://openalex.org/I4210097637,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Science and Technology Beijing,https://openalex.org/I92403157,China,,,,,,,,,
H Feng,A5052412837,4,True,True,False,False,China,,,,Shanghai University of International Business and Economics,https://openalex.org/I905225518,China,Lanzhou University,https://openalex.org/I76214153,China,Lanzhou University,https://openalex.org/I76214153,China,Zhejiang University,https://openalex.org/I76130692,China,,,,,,,,,,,,,Fudan University,https://openalex.org/I24943067,China,,,,,,,,,,,,,,,,,,,,,,,,,Zhejiang University,https://openalex.org/I76130692,China,Zhejiang University,https://openalex.org/I76130692,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiyang Xu,A5100642201,7,True,True,False,False,China,,,,East China Normal University,https://openalex.org/I66867065,China,,,,Sichuan University of Science and Engineering,https://openalex.org/I64852412,China,First Hospital of Jilin University,https://openalex.org/I4210125137,China,First Hospital of Jilin University,https://openalex.org/I4210125137,China,,,,First Bethune Hospital of Jilin University,https://openalex.org/I4210146008,China,First Hospital of Jilin University,https://openalex.org/I4210125137,China,Center of Hubei Cooperative Innovation for Emissions Trading System,https://openalex.org/I4210150320,China,First Hospital of Jilin University,https://openalex.org/I4210125137,China,,,,Jilin Academy of Traditional Chinese Medicine,https://openalex.org/I4210150498,China,First Bethune Hospital of Jilin University,https://openalex.org/I4210146008,China,First Hospital of Jilin University,https://openalex.org/I4210125137,China,First Hospital of Jilin University,https://openalex.org/I4210125137,China,Huazhong Agricultural University,https://openalex.org/I204823248,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Han Yu,A5102516031,8,False,True,False,False,Australia; China; Hong Kong; Singapore,Jilin University,https://openalex.org/I194450716,China,Tsinghua University,https://openalex.org/I99065089,China,RMIT University,https://openalex.org/I82951845,Australia,University of Hong Kong,https://openalex.org/I889458895,Hong Kong,,,,Central China Normal University,https://openalex.org/I40963666,China,,,,Central China Normal University,https://openalex.org/I40963666,China,Shandong Management University,https://openalex.org/I4210097214,China,,,,Nanyang Technological University,https://openalex.org/I172675005,Singapore,,,,,,,,,,,,,,,,,,,,,,Shandong University,https://openalex.org/I154099455,China,,,,Shandong University,https://openalex.org/I154099455,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hao Ge,A5036154095,10,False,True,True,False,Canada; China; Japan; United States,Beijing International Studies University,https://openalex.org/I71459812,China,,,,Osaka University,https://openalex.org/I98285908,Japan,Traffic Management Research Institute,https://openalex.org/I4210163147,China,Tsinghua University,https://openalex.org/I99065089,China,Tesla (United States),https://openalex.org/I4210109380,United States,McMaster University,https://openalex.org/I98251732,Canada,Tsinghua University,https://openalex.org/I99065089,China,McMaster University,https://openalex.org/I98251732,Canada,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Guizhou Normal University,https://openalex.org/I154893126,China,Harbin Institute of Technology,https://openalex.org/I204983213,China,,,,,,,Dalian University of Technology,https://openalex.org/I27357992,China,,,,,,,,,,,,,,,,,,,,,,Chinese Academy of Tropical Agricultural Sciences,https://openalex.org/I107851509,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haoran Wei,A5107950823,4,False,True,True,False,China; United States,Shenzhen University,https://openalex.org/I180726961,China,ShanghaiTech University,https://openalex.org/I30809798,China,Sacred Heart Hospital,https://openalex.org/I4210108516,United States,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongyi Yuan,A5109367486,6,True,True,False,False,China,,,,Shanghai Research Institute of Materials,https://openalex.org/I4210150558,China,Beijing National Laboratory for Molecular Sciences,https://openalex.org/I4210116048,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,First Hospital of Shijiazhuang,https://openalex.org/I4210124205,China,,,,,,,Northeast Forestry University,https://openalex.org/I47689461,China,Chinese Academy of Agricultural Sciences,https://openalex.org/I4210138501,China,Chinese Academy of Agricultural Sciences,https://openalex.org/I4210138501,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hua Zhong,A5101663416,16,False,True,True,False,China; United Kingdom; United States,The University of Texas Southwestern Medical Center,https://openalex.org/I867280407,United States,Nottingham Trent University,https://openalex.org/I52590639,United Kingdom,Nottingham Trent University,https://openalex.org/I52590639,United Kingdom,Northeastern University,https://openalex.org/I9224756,China,New York University,https://openalex.org/I57206974,United States,Northeastern University,https://openalex.org/I9224756,China,Mississippi State University,https://openalex.org/I99041443,United States,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Xiangya Hospital Central South University,https://openalex.org/I4210159865,China,Nottingham Trent University,https://openalex.org/I52590639,United Kingdom,Third People's Hospital of Huzhou,https://openalex.org/I4210144083,China,Guangzhou Medical University,https://openalex.org/I92039509,China,Nottingham Trent University,https://openalex.org/I52590639,United Kingdom,First Affiliated Hospital of Kunming Medical University,https://openalex.org/I4210120169,China,Nottingham Trent University,https://openalex.org/I52590639,United Kingdom,CCCC Wuhan Harbour Engineering Design and Research (China),https://openalex.org/I4210146427,China,Nottingham Trent University,https://openalex.org/I52590639,United Kingdom,Sun Yat-sen University,https://openalex.org/I157773358,China,Hengyang Academy of Agricultural Sciences,https://openalex.org/I4210151926,China,Sun Yat-sen University,https://openalex.org/I157773358,China,,,,Suzhou University of Science and Technology,https://openalex.org/I308837,China,,,,,,,,,,,,,Xi'an Jiaotong University,https://openalex.org/I87445476,China,,,,Johns Hopkins Hospital,https://openalex.org/I4210150714,United States,,,,,,,,,,World Wide Web Consortium,https://openalex.org/I4210087207,United States,,,,,,,,,,,,,,,,,,,,,
Huan Lin,A5113431179,3,True,True,False,False,China,,,,,,,Zhengzhou Business University,https://openalex.org/I4210155994,China,Academy of Military Medical Sciences,https://openalex.org/I2802541053,China,,,,,,,,,,,,,,,,,,,,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,,,,,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huancai Lin,A5071834880,7,False,True,True,False,China; Hong Kong; Taiwan; United States,,,,Zhangzhou Normal University,https://openalex.org/I9356336,China,Guangzhou Medical University,https://openalex.org/I92039509,China,"Hospital of Stomatology, Sun Yat-sen University",https://openalex.org/I4387155047,China,"Hospital of Stomatology, Sun Yat-sen University",https://openalex.org/I4387155047,China,"Hospital of Stomatology, Sun Yat-sen University",https://openalex.org/I4387155047,China,"Hospital of Stomatology, Sun Yat-sen University",https://openalex.org/I4387155047,China,"Hospital of Stomatology, Sun Yat-sen University",https://openalex.org/I4387155047,China,"Hospital of Stomatology, Sun Yat-sen University",https://openalex.org/I4387155047,China,"Hospital of Stomatology, Sun Yat-sen University",https://openalex.org/I4387155047,China,"Hospital of Stomatology, Sun Yat-sen University",https://openalex.org/I4387155047,China,"Hospital of Stomatology, Sun Yat-sen University",https://openalex.org/I4387155047,China,Sun Yat-sen University,https://openalex.org/I157773358,China,"Hospital of Stomatology, Sun Yat-sen University",https://openalex.org/I4387155047,China,Sun Yat-sen University,https://openalex.org/I157773358,China,Sun Yat-sen University,https://openalex.org/I157773358,China,Sun Yat-sen University,https://openalex.org/I157773358,China,,,,Kaohsiung Medical University,https://openalex.org/I152743029,Taiwan,,,,,,,,,,,,,,,,University of Hong Kong,https://openalex.org/I889458895,Hong Kong,University of Hong Kong,https://openalex.org/I889458895,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,The University of Texas Southwestern Medical Center,https://openalex.org/I867280407,United States,,,,,,,,,,,,
Jiabo Ye,A5091465907,4,True,True,False,False,China,,,,Alibaba Group (China),https://openalex.org/I45928872,China,East China Normal University,https://openalex.org/I66867065,China,East China Normal University,https://openalex.org/I66867065,China,East China Normal University,https://openalex.org/I66867065,China,East China Normal University,https://openalex.org/I66867065,China,Air Force General Hospital PLA,https://openalex.org/I4210141682,China,,,,Air Force General Hospital PLA,https://openalex.org/I4210141682,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tongji University,https://openalex.org/I116953780,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jialin Wang,A5114941909,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jialong Tang,A5101306060,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jian Yang,A5101503975,4,False,True,True,False,China; Germany; United States,University of Kentucky,https://openalex.org/I143302722,United States,,,,Sacred Heart Hospital,https://openalex.org/I4210108516,United States,University of Kentucky,https://openalex.org/I143302722,United States,,,,Nanjing University of Posts and Telecommunications,https://openalex.org/I41198531,China,,,,Nanjing University of Posts and Telecommunications,https://openalex.org/I41198531,China,,,,,,,,,,,,,Technical University of Munich,https://openalex.org/I62916508,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jianhong Tu,A5082583725,1,True,True,False,False,China,,,,,,,Renmin University of China,https://openalex.org/I78988378,China,Renmin University of China,https://openalex.org/I78988378,China,Renmin University of China,https://openalex.org/I78988378,China,Renmin University of China,https://openalex.org/I78988378,China,Renmin University of China,https://openalex.org/I78988378,China,,,,Renmin University of China,https://openalex.org/I78988378,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jianqiang Wan,A5111582686,6,False,True,True,False,Cayman Islands; China; United States,,,,,,,Alibaba Group (United States),https://openalex.org/I4210095624,United States,,,,Alibaba Group (Cayman Islands),https://openalex.org/I4210086143,Cayman Islands,Nanjing University,https://openalex.org/I881766915,China,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General Atomics (United States),https://openalex.org/I63533367,United States,,,,"University of California, Los Angeles",https://openalex.org/I161318765,United States,,,,,,,"University of California, Los Angeles",https://openalex.org/I161318765,United States,,,,,,,,,,,,,,,
Jianwei Zhang,A5100326965,22,False,True,True,False,China; Germany; Japan; Norway; The Netherlands; United States,,,,Beijing University of Chemical Technology,https://openalex.org/I75390827,China,Sacred Heart Hospital,https://openalex.org/I4210108516,United States,Empire State University,https://openalex.org/I88081825,United States,FORCE Technology (Norway),https://openalex.org/I4210142464,Norway,Alibaba Group (China),https://openalex.org/I45928872,China,Baidu (China),https://openalex.org/I98301712,China,South China University of Technology,https://openalex.org/I90610280,China,Institute of Software,https://openalex.org/I4210128818,China,South China University of Technology,https://openalex.org/I90610280,China,Beihang University,https://openalex.org/I82880672,China,"University at Albany, State University of New York",https://openalex.org/I392282,United States,Tsukuba University of Technology,https://openalex.org/I24254649,Japan,Chiba Institute of Technology,https://openalex.org/I8488066,Japan,Chiba Institute of Technology,https://openalex.org/I8488066,Japan,Eindhoven University of Technology,https://openalex.org/I83019370,The Netherlands,Weifang University,https://openalex.org/I66883779,China,Weifang University,https://openalex.org/I66883779,China,Northwest Normal University,https://openalex.org/I68986083,China,Northwest Normal University,https://openalex.org/I68986083,China,Northeastern University,https://openalex.org/I9224756,China,Capital Normal University,https://openalex.org/I96852419,China,Jinhua Polytechnic,https://openalex.org/I4210152737,China,Tsinghua University,https://openalex.org/I99065089,China,Shandong Management University,https://openalex.org/I4210097214,China,,,,Beijing Normal University,https://openalex.org/I25254941,China,,,,,,,,,,,,,,,,,,,Karlsruhe Institute of Technology,https://openalex.org/I102335020,Germany,,,,,,,,,,,,,,,,,,
Jianxin Ma,A5069139054,15,False,True,True,False,China; United States,,,,University of Science and Technology Beijing,https://openalex.org/I92403157,China,University of Science and Technology Beijing,https://openalex.org/I92403157,China,Bohai University,https://openalex.org/I97009856,China,Bohai University,https://openalex.org/I97009856,China,Bohai University,https://openalex.org/I97009856,China,Bohai University,https://openalex.org/I97009856,China,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,China,State Key Laboratory of Remote Sensing Science,https://openalex.org/I4210166112,China,Michigan State University,https://openalex.org/I87216513,United States,Purdue University West Lafayette,https://openalex.org/I219193219,United States,Henan Provincial People's Hospital,https://openalex.org/I4210133534,China,Purdue University West Lafayette,https://openalex.org/I219193219,United States,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,China,Zhengzhou People's Hospital,https://openalex.org/I4210149496,China,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,China,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,China,University of Missouri,https://openalex.org/I76835614,United States,Purdue University West Lafayette,https://openalex.org/I219193219,United States,Purdue University West Lafayette,https://openalex.org/I219193219,United States,,,,81th Hospital of PLA,https://openalex.org/I4210118317,China,Pediatrics and Genetics,https://openalex.org/I4210147155,United States,Zhengzhou University,https://openalex.org/I38877650,China,Chinese Academy of Agricultural Sciences,https://openalex.org/I4210138501,China,Chinese Academy of Agricultural Sciences,https://openalex.org/I4210138501,China,Chinese Academy of Agricultural Sciences,https://openalex.org/I4210138501,China,Chinese Academy of Agricultural Sciences,https://openalex.org/I4210138501,China,,,,,,,Nanjing University,https://openalex.org/I881766915,China,Nanjing University,https://openalex.org/I881766915,China,,,,,,,,,,,,,,,,,,,,,,,,
Jianxin Yang,A5107900064,5,False,True,True,False,China; United States,,,,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,China,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,China,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,China,Second Affiliated Hospital of Zhejiang University,https://openalex.org/I4210158318,China,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,China,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,China,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,China,,,,Research Center for Eco-Environmental Sciences,https://openalex.org/I4210144289,China,Research Center for Eco-Environmental Sciences,https://openalex.org/I4210144289,China,,,,Research Center for Eco-Environmental Sciences,https://openalex.org/I4210144289,China,Jilin University,https://openalex.org/I194450716,China,Research Center for Eco-Environmental Sciences,https://openalex.org/I4210144289,China,Research Center for Eco-Environmental Sciences,https://openalex.org/I4210144289,China,Research Center for Eco-Environmental Sciences,https://openalex.org/I4210144289,China,,,,Pfizer (United States),https://openalex.org/I180857899,United States,Research Center for Eco-Environmental Sciences,https://openalex.org/I4210144289,China,Research Center for Eco-Environmental Sciences,https://openalex.org/I4210144289,China,Research Center for Eco-Environmental Sciences,https://openalex.org/I4210144289,China,Research Center for Eco-Environmental Sciences,https://openalex.org/I4210144289,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiaxi Yang,A5008284896,5,False,True,True,False,China; Singapore; United States,,,,Fourth Hospital of Hebei Medical University,https://openalex.org/I4210106405,China,Sacred Heart Hospital,https://openalex.org/I4210108516,United States,National University of Singapore,https://openalex.org/I165932596,Singapore,National University of Singapore,https://openalex.org/I165932596,Singapore,Harvard University,https://openalex.org/I136199984,United States,Harvard University,https://openalex.org/I136199984,United States,Sanofi (United States),https://openalex.org/I4210111804,United States,Sanofi (United States),https://openalex.org/I4210111804,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National University of Singapore,https://openalex.org/I165932596,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jin Xu,A5007056124,7,False,True,False,False,China; Ireland,,,,"National University of Ireland, Maynooth",https://openalex.org/I157286207,Ireland,Dublin City University,https://openalex.org/I42934936,Ireland,University of Electronic Science and Technology of China,https://openalex.org/I150229711,China,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Shanghai Changzheng Hospital,https://openalex.org/I4210099558,China,Xi'an Jiaotong University,https://openalex.org/I87445476,China,China Electric Power Research Institute,https://openalex.org/I4392738113,China,,,,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Southwest Jiaotong University,https://openalex.org/I4800084,China,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Southwest Jiaotong University,https://openalex.org/I4800084,China,,,,Xi'an Jiaotong University,https://openalex.org/I87445476,China,,,,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Xi'an Jiaotong University,https://openalex.org/I87445476,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
