id,display_name,author_count
https://openalex.org/I1291425158,Google (United States),27
https://openalex.org/I4210090411,DeepMind (United Kingdom),15
https://openalex.org/I4210113297,Google (United Kingdom),9
https://openalex.org/I37461747,Wuhan University,4
https://openalex.org/I35440088,ETH Zurich,4
https://openalex.org/I63966007,Massachusetts Institute of Technology,3
https://openalex.org/I118347636,Australian National University,3
https://openalex.org/I2801851002,Harvard University Press,3
https://openalex.org/I95457486,"University of California, Berkeley",3
https://openalex.org/I130701444,Georgia Institute of Technology,3
https://openalex.org/I45129253,University College London,3
https://openalex.org/I1290206253,Microsoft (United States),2
https://openalex.org/I4210164937,Microsoft Research (United Kingdom),2
https://openalex.org/I75867142,Xiamen University of Technology,2
https://openalex.org/I42894916,Data61,2
https://openalex.org/I121797337,Leiden University,2
https://openalex.org/I144112489,McGovern Institute for Brain Research,2
https://openalex.org/I223532165,University of Utah,2
https://openalex.org/I185261750,University of Toronto,2
https://openalex.org/I151221077,Chung Yuan Christian University,2
https://openalex.org/I78577930,Columbia University,2
https://openalex.org/I165932596,National University of Singapore,2
https://openalex.org/I4210100430,Google (Switzerland),2
https://openalex.org/I191208505,Xiamen University,2
https://openalex.org/I4210113520,Brain (Germany),2
https://openalex.org/I97018004,Stanford University,2
https://openalex.org/I196699116,Wuhan University of Technology,2
https://openalex.org/I10535382,Chongqing University of Posts and Telecommunications,2
https://openalex.org/I47720641,Huazhong University of Science and Technology,2
https://openalex.org/I11838497,Aviation Industry Corporation of China (China),1
https://openalex.org/I1325784139,Yahoo (United Kingdom),1
https://openalex.org/I172675005,Nanyang Technological University,1
https://openalex.org/I52357470,The Ohio State University,1
https://openalex.org/I4210095245,Max Planck Institute for Polymer Research,1
https://openalex.org/I123387679,Uppsala University,1
https://openalex.org/I4210123095,Institute of Materials Research and Engineering,1
https://openalex.org/I4210135317,General Motors (Poland),1
https://openalex.org/I16609230,Hunan University,1
https://openalex.org/I4210114918,Boston University Academy,1
https://openalex.org/I141945490,University of British Columbia,1
https://openalex.org/I4210114444,Meta (United States),1
https://openalex.org/I1292974536,Ford Motor Company (United States),1
https://openalex.org/I3124489027,Samara National Research University,1
https://openalex.org/I180437899,University of Bremen,1
https://openalex.org/I2800095910,Yahoo (Spain),1
https://openalex.org/I60158472,Concordia University,1
https://openalex.org/I143413998,Qingdao University of Science and Technology,1
https://openalex.org/I51556381,University of Virginia,1
https://openalex.org/I1333370159,Motorola (United States),1
https://openalex.org/I4210102207,College of Tourism,1
https://openalex.org/I86519309,The University of Texas at Austin,1
https://openalex.org/I2252078561,Meta (Israel),1
https://openalex.org/I55061410,U.S. Air Force Institute of Technology,1
https://openalex.org/I2799950915,Wright-Patterson Air Force Base,1
https://openalex.org/I4210153468,Microsoft (Canada),1
https://openalex.org/I71920554,King Abdullah University of Science and Technology,1
https://openalex.org/I4210102957,Département Mathématiques et Informatique Appliquées,1
https://openalex.org/I118118575,New Jersey Institute of Technology,1
https://openalex.org/I75421653,University of Missouri–Kansas City,1
https://openalex.org/I4210151618,National Hospital for Neurology and Neurosurgery,1
https://openalex.org/I4210138427,Computational Physics (United States),1
https://openalex.org/I123900574,Pohang University of Science and Technology,1
https://openalex.org/I2800691815,Gatsby Charitable Foundation,1
https://openalex.org/I4210099336,Menlo School,1
https://openalex.org/I4210113369,Microsoft Research Asia (China),1
https://openalex.org/I171210897,Aligarh Muslim University,1
https://openalex.org/I51601045,University of Bath,1
https://openalex.org/I48430043,Institut National des Sciences Appliquées de Lyon,1
https://openalex.org/I1323015784,Drug Enforcement Administration,1
https://openalex.org/I41198531,Nanjing University of Posts and Telecommunications,1
https://openalex.org/I4210104429,Institute of Cognitive and Brain Sciences,1
https://openalex.org/I4210133467,Xi'an Aeronautical University,1
https://openalex.org/I189158971,United States Naval Academy,1
https://openalex.org/I4210148978,Hospital de Clínicas da Unicamp,1
https://openalex.org/I1314251682,Institut National de la Recherche Agronomique,1
https://openalex.org/I31746571,UNSW Sydney,1
https://openalex.org/I80293557,University of Computer Studies Yangon,1
https://openalex.org/I136199984,Harvard University,1
https://openalex.org/I4210138186,Wuhan National Laboratory for Optoelectronics,1
https://openalex.org/I100532134,Université Claude Bernard Lyon 1,1
https://openalex.org/I27599042,Xi'an Polytechnic University,1
https://openalex.org/I205783295,Cornell University,1
https://openalex.org/I91807558,National Cheng Kung University,1
https://openalex.org/I174216632,City University of New York,1
https://openalex.org/I94658018,University of Memphis,1
https://openalex.org/I76835614,University of Missouri,1
https://openalex.org/I168719708,City University of Hong Kong,1
https://openalex.org/I99464096,KU Leuven,1
https://openalex.org/I122411786,California Institute of Technology,1
https://openalex.org/I219193219,Purdue University West Lafayette,1
https://openalex.org/I4210127216,Ministry of Transport,1
https://openalex.org/I10052268,New Mexico State University,1
https://openalex.org/I4210134091,Yahoo (United States),1
https://openalex.org/I4210141421,Ministère de l'Économie et des Finances,1
https://openalex.org/I75027704,University of Tennessee at Knoxville,1
https://openalex.org/I20231570,Peking University,1
https://openalex.org/I145996665,International Society for Optics and Photonics,1
https://openalex.org/I4210110718,Nanyang Normal University,1
https://openalex.org/I22248866,AgroParisTech,1
https://openalex.org/I83399316,Rockefeller University,1
https://openalex.org/I2614128279,Dalle Molle Institute for Artificial Intelligence Research,1
https://openalex.org/I148283060,Lawrence Berkeley National Laboratory,1
https://openalex.org/I180923762,University of Cologne,1
https://openalex.org/I31512782,Technical University of Darmstadt,1
https://openalex.org/I127108677,Eastern Institute of Technology,1
https://openalex.org/I4210135021,BP (France),1
https://openalex.org/I40120149,University of Oxford,1
