Author Position,Author ID,Author Name,ORCID,Is Corresponding,Raw Author Name,Affiliations
first,https://openalex.org/A5055189318,Meera Hahn,https://orcid.org/0009-0004-1549-088X,False,"Hahn, Meera",
middle,https://openalex.org/A5101739843,Wen-Jun Zeng,https://orcid.org/0000-0003-0362-3388,False,"Zeng, Wenjun",
middle,https://openalex.org/A5038409403,Nithish Kannen,,False,"Kannen, Nithish",
middle,https://openalex.org/A5115087384,Rich Galt,,False,"Galt, Rich",
middle,https://openalex.org/A5043460350,Kartikeya Badola,,False,"Badola, Kartikeya",
middle,https://openalex.org/A5054693573,Been Kim,,False,"Kim, Been",
last,https://openalex.org/A5101505122,Zi Wang,https://orcid.org/0000-0001-5276-2988,False,"Wang, Zi",
