Author Position,Author ID,Author Name,ORCID,Is Corresponding,Raw Author Name,Affiliations
first,https://openalex.org/A5030702181,Kuang-Huei Lee,,False,"Lee, Kuang-Huei",
middle,https://openalex.org/A5051461147,Ian Fischer,https://orcid.org/0000-0003-3886-5619,False,"Fischer, Ian",
middle,https://openalex.org/A5051852804,Yingju Wu,https://orcid.org/0000-0002-1845-6984,False,"Wu, Yueh-Hua",
middle,https://openalex.org/A5073005062,Dave Marwood,,False,"Marwood, Dave",
middle,https://openalex.org/A5085643229,Shumeet Baluja,https://orcid.org/0000-0002-8696-8711,False,"Baluja, Shumeet",
middle,https://openalex.org/A5115944506,Dale Schuurmans,,False,"Schuurmans, Dale",
last,https://openalex.org/A5101977007,Xinyun Chen,https://orcid.org/0000-0003-4414-0964,False,"Chen, Xinyun",
