Author,No. Papers,Notes,OA_Profile,OA_ID,Papers
Jiaxin Xu,1,,https://openalex.org/A5101299439,A5101299439,6
Jiewen Hu,1,,https://openalex.org/A5030169073,A5030169073,6
Jin Chen,2,,https://openalex.org/A5100689175,A5100689175,"2, 6"
Jing Chen,1,,https://openalex.org/A5100394926,A5100394926,5
Jingchang Chen,3,,https://openalex.org/A5003566311,A5003566311,"4, 5, 6"
Jingjing Xiang,1,,https://openalex.org/A5101651199,A5101651199,6
Jingxiang Sun,1,,https://openalex.org/A5040066835,A5040066835,1
Jingyang Yuan,4,,https://openalex.org/A5113747152,A5113747152,"2, 4, 5, 6"
Jingyuan Cheng,1,,https://openalex.org/A5007742979,A5007742979,6
Jinhua Zhu,1,,https://openalex.org/A5102224739,A5102224739,6
Jun Ran,1,,https://openalex.org/A5029163663,A5029163663,6
Junguang Jiang,1,,https://openalex.org/A5101828204,A5101828204,6
Junjie Qiu,5,,https://openalex.org/A5052869661,A5052869661,"1, 2, 4, 5, 6"
Junlong Li,3,,https://openalex.org/A5100757072,A5100757072,"4, 5, 6"
Junxiao Song,6,,https://openalex.org/A5008686458,A5008686458,"1, 2, 3, 4, 5, 6"
Kai Dong,6,,https://openalex.org/A5102020713,A5102020713,"1, 2, 3, 4, 5, 6"
Kai Hu,2,,https://openalex.org/A5101710153,A5101710153,"4, 5"
Kaichao You,1,,https://openalex.org/A5016284649,A5016284649,5
Kaige Gao,5,,https://openalex.org/A5002755981,A5002755981,"1, 2, 4, 5, 6"
Kang Guan,6,,https://openalex.org/A5017301651,A5017301651,"1, 2, 3, 4, 5, 6"
Kexin Huang,3,,https://openalex.org/A5102892551,A5102892551,"4, 5, 6"
Kexing Zhou,1,,https://openalex.org/A5000718123,A5000718123,6
Kezhao Huang,1,,https://openalex.org/A5023674199,A5023674199,6
Kuai Yu,3,,https://openalex.org/A5022036537,A5022036537,"4, 5, 6"
L. R. Ma,1,,https://openalex.org/A5113319915,A5113319915,6
L. Xia,3,,https://openalex.org/A5107939686,A5107939686,"4, 5, 6"
L. Zhang,1,,https://openalex.org/A5019771520,A5019771520,1
Lean Wang,4,,https://openalex.org/A5034611488,A5034611488,"2, 4, 5, 6"
Lecong Zhang,4,,https://openalex.org/A5068839714,A5068839714,"2, 4, 5, 6"
Lei Wang,1,,https://openalex.org/A5100435806,A5100435806,6
Lei Xu,4,,https://openalex.org/A5020790434,A5020790434,"2, 4, 5, 6"
Leyi Xia,1,,,,2
Li Meng,1,,https://openalex.org/A5103787770,A5103787770,6
Liang Zhao,4,,https://openalex.org/A5101780128,A5101780128,"2, 4, 5, 6"
Liangsheng Yin,1,,https://openalex.org/A5074614946,A5074614946,6
Lihua Guo,1,,https://openalex.org/A5101908065,A5101908065,6
Lingxiao Luo,1,,https://openalex.org/A5036387082,A5036387082,6
Litong Wang,3,,https://openalex.org/A5103211182,A5103211182,"4, 5, 6"
Liyue Zhang,6,,https://openalex.org/A5101859634,A5101859634,"1, 2, 3, 4, 5, 6"
Meng Li,3,,https://openalex.org/A5101815738,A5101815738,"2, 4, 5"
Miaojun Wang,4,,https://openalex.org/A5026325208,A5026325208,"2, 4, 5, 6"
Miaomiao Di,1,,https://openalex.org/A5092740563,A5092740563,6
Mingchuan Zhang,5,,https://openalex.org/A5087014857,A5087014857,"1, 2, 4, 5, 6"
Minghua Zhang,5,,https://openalex.org/A5100737340,A5100737340,"1, 2, 4, 5, 6"
Minghui Tang,5,,https://openalex.org/A5101876129,A5101876129,"1, 2, 4, 5, 6"
Mingjun Xu,1,,https://openalex.org/A5101910351,A5101910351,6
Mingming Li,4,,https://openalex.org/A5100338776,A5100338776,"2, 4, 5, 6"
Mingxu Zhou,2,,https://openalex.org/A5032538237,A5032538237,"5, 6"
Ni Jiang,1,,https://openalex.org/A5112209435,A5112209435,4
Ning Tian,4,,https://openalex.org/A5053537379,A5053537379,"2, 4, 5, 6"
Panpan Huang,5,,https://openalex.org/A5053679681,A5053679681,"1, 2, 4, 5, 6"
Pei Tian,3,,https://openalex.org/A5101862808,A5101862808,"1, 5, 6"
Peixin Cong,1,,https://openalex.org/A5054102678,A5054102678,6
Peiyi Wang,6,,https://openalex.org/A5058808692,A5058808692,"1, 2, 3, 4, 5, 6"
Peng Zhang,4,,https://openalex.org/A5100364050,A5100364050,"2, 4, 5, 6"
Qiancheng Wang,3,,https://openalex.org/A5009091910,A5009091910,"4, 5, 6"
Qihao Zhu,6,,https://openalex.org/A5047271595,A5047271595,"1, 2, 3, 4, 5, 6"
Qingyang Li,1,,https://openalex.org/A5100700135,A5100700135,6
Qinyu Chen,5,,https://openalex.org/A5101682928,A5101682928,"2, 3, 4, 5, 6"
Qiushi Du,6,,https://openalex.org/A5100915390,A5100915390,"1, 2, 3, 4, 5, 6"
R. J. Chen,4,,https://openalex.org/A5112374713,A5112374713,"2, 4, 5, 6"
R. L. Jin,1,,,,2
R. Xu,1,,https://openalex.org/A5107918038,A5107918038,6
Renyuan Xu,1,,https://openalex.org/A5068576165,A5068576165,1
Rong Jin,3,,https://openalex.org/A5109083484,A5109083484,"4, 5, 6"
Rongfeng Shen,1,,https://openalex.org/A5046778736,A5046778736,6
Ruiqi Ge,5,,https://openalex.org/A5029083198,A5029083198,"1, 2, 4, 5, 6"
Ruisong Zhang,3,,https://openalex.org/A5048832336,A5048832336,"4, 5, 6"
Ruixue Yin,1,,https://openalex.org/A5023296542,A5023296542,6
Ruizhe Pan,1,,,,2
