id,author_count,display_name,type,country,city,display_name_acronyms,display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,wikipedia,associated_institutions_children,children_ids,associated_institutions_parent,parent_ids
https://openalex.org/I99613584,1,National Taipei University,education,Taiwan,Taipei,NTPU,National Chung Hsing University; National Taipei University; Taiwan Provincial Chung Hsing University; Taiwan Provincial College of Law and Business; 國立臺北大學,17547,665245,1.1640491958372754,234,13489,https://en.wikipedia.org/wiki/National_Taipei_University,,,,
https://openalex.org/I4210160314,1,Shenzhen Pingle Orthopedic Hospital,healthcare,China,Shenzhen,,Shenzhen Pingle Orthopedic Hospital; 深圳平乐骨伤科医院,2221,45527,2.3404701931150296,77,1282,,,,,
https://openalex.org/I4210148632,1,Bidar Organization for Medicinal and Aromatic plants,nonprofit,India,Bengaluru,BiOMAP,Bidar Organization for Medicinal and Aromatic plants,11,445,9.88888888888889,8,1,,,,,
https://openalex.org/I4210118629,1,NARI Group (China),facility,China,Nanjing,NARI,NARI Group (China); Nanjing Automation Research Institute; 南京自动化研究所,6966,46018,0.7523355197773802,60,981,,,,,
https://openalex.org/I4210138370,1,Liupanshui Normal University,education,China,Liupanshui,LPU,Liupanshui Normal University,2674,24195,2.459531772575251,60,673,,,,,
https://openalex.org/I2802974365,1,Shanghai Innovative Research Center of Traditional Chinese Medicine,facility,China,Shanghai,SIRC-TCM,National Innovation Center of TCM Modernization in Shanghai; Shanghai Innovative Research Center of Traditional Chinese Medicine; 上海中药创新研究中心,2700,135207,4.294027565084226,129,3338,https://en.wikipedia.org/wiki/Shanghai_Innovative_Research_Center_of_Traditional_Chinese_Medicine,,,,
https://openalex.org/I4210150858,1,Beijing Academy of Quantum Information Sciences,facility,China,Beijing,BAQIS,Beijing Academy of Quantum Information Sciences,3859,340932,5.004687885516901,267,4304,,,,,
https://openalex.org/I82760581,1,Taizhou University,education,China,Taizhou,TU,Taizhou University; 台州学院,13640,478768,5.150321987120515,199,10920,https://en.wikipedia.org/wiki/Taizhou_University,,,,
https://openalex.org/I2801556517,1,Ruijin Hospital,healthcare,China,Shanghai,,Guǎngcí Yīyuàn; Ruijin Hospital; Ruìjīn Yīyuàn; St. Marie Hospital ; 上海交通大学医学院附属瑞金医院,28845,2415986,4.037022723759468,389,45771,https://en.wikipedia.org/wiki/Ruijin_Hospital,,,,
https://openalex.org/I4210111970,1,Fujian Electric Power Survey & Design Institute,facility,China,Fuzhou,FEDI,Fujian Electric Power Survey & Design Institute; 福建省电力勘测设计院,4156,30165,1.1937649880095924,60,678,,,,,
