Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,ID-1989,ID-1993,ID-1994,ID-1997,ID-1999,ID-2000,ID-2001,ID-2002,ID-2003,ID-2004,ID-2005,ID-2006,ID-2007,ID-2008,ID-2009,ID-2010,ID-2011,ID-2012,ID-2013,ID-2014,ID-2015,ID-2016,ID-2017,ID-2018,ID-2019,ID-2020,ID-2021,ID-2022,ID-2023,ID-2024,ID-2025,affiliation-1989,affiliation-1993,affiliation-1994,affiliation-1997,affiliation-1999,affiliation-2000,affiliation-2001,affiliation-2002,affiliation-2003,affiliation-2004,affiliation-2005,affiliation-2006,affiliation-2007,affiliation-2008,affiliation-2009,affiliation-2010,affiliation-2011,affiliation-2012,affiliation-2013,affiliation-2014,affiliation-2015,affiliation-2016,affiliation-2017,affiliation-2018,affiliation-2019,affiliation-2020,affiliation-2021,affiliation-2022,affiliation-2023,affiliation-2024,affiliation-2025
Yukun Zha,3,,https://openalex.org/A5006037200,A5006037200,,Yukun Zha,"Yukun Zha, Y. Zha",4,18,0.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X. Q. Li,3,,https://openalex.org/A5006875159,A5006875159,https://orcid.org/0009-0009-8192-4128,X. Q. Li,"X. Q. Li, Xiyuan Li",9,224,0.0,6,6,,,,,,,,,,,,,,,,https://openalex.org/I4210096139,https://openalex.org/I4210096139,https://openalex.org/I4210096139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China Institute of Atomic Energy,China Institute of Atomic Energy,China Institute of Atomic Energy,,,,,,,,,,,,,
Tianyu Sun,3,,https://openalex.org/A5015475948,A5015475948,https://orcid.org/0000-0002-6915-4687,Tianyu Sun,Tianyu Sun,7,24,2.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4401726859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuaishou (China),
Bei Feng,3,,https://openalex.org/A5016665033,A5016665033,,Bei Feng,"B. L. Feng, Bei Feng",6,13,0.0,2,0,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I89652312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northwest A&F University,,,,,,,,,
Yuting Yan,3,,https://openalex.org/A5019540330,A5019540330,,Yuting Yan,"Yuting Yan, Y.‐Y. Yan",4,5,0.0,1,0,https://openalex.org/I4210123254,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210123254,,,,https://openalex.org/I163340411,Thermal Power Research Institute,,,,,,,,,,,,,,,,,,,,,,,,,,Thermal Power Research Institute,,,,Hohai University
Jiaqi Ni,3,,https://openalex.org/A5019579257,A5019579257,,Jiaqi Ni,Jiaqi Ni,6,84,0.0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I98358874,https://openalex.org/I125839683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delft University of Technology,Beijing Institute of Technology,,,,
Lei Xu,3,,https://openalex.org/A5020790434,A5020790434,https://orcid.org/0000-0002-6454-2963,Lei Xu,"Lei Xu, L. Xu, Xu Lei, Lexi Xu",177,2661,4.304347826086956,26,46,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I37461747,https://openalex.org/I37461747,https://openalex.org/I37461747,https://openalex.org/I37461747,https://openalex.org/I37461747,https://openalex.org/I37461747,https://openalex.org/I4210099912,https://openalex.org/I4210089056,https://openalex.org/I31595395,https://openalex.org/I2799486974,,,,,,,,,,,,,,,,,,,,,,Wuhan University,Wuhan University,Wuhan University,Wuhan University,Wuhan University,Wuhan University,Wuhan Science and Technology Bureau,Beijing Microelectronics Technology Institute,Chengdu University of Technology,China Geological Survey
Wei An,3,,https://openalex.org/A5021639941,A5021639941,https://orcid.org/0000-0002-9648-4497,Wei An,"W.X. An, AY. Wei, Wenjing An, A. Wei, Weilong An, W. An, W.‐M. An, An Wei, Wei An",113,2310,1.6666666666666667,28,64,,,,,,,,,,https://openalex.org/I139787848,,,,https://openalex.org/I139787848,,,https://openalex.org/I177933477,https://openalex.org/I177933477,,https://openalex.org/I177933477,https://openalex.org/I183519381,https://openalex.org/I183519381,https://openalex.org/I177933477,https://openalex.org/I177933477,https://openalex.org/I177933477,https://openalex.org/I177933477,https://openalex.org/I4210087615,https://openalex.org/I177933477,https://openalex.org/I180857899,https://openalex.org/I177933477,https://openalex.org/I91935597,,,,,,,,,,Capital University,,,,Capital University,,,Second Military Medical University,Second Military Medical University,,Second Military Medical University,Capital Medical University,Capital Medical University,Second Military Medical University,Second Military Medical University,Second Military Medical University,Second Military Medical University,Beihai People's Hospital,Second Military Medical University,Pfizer (United States),Second Military Medical University,University of South China
Zhipeng Xu,3,,https://openalex.org/A5024958662,A5024958662,https://orcid.org/0009-0001-3671-5978,Zhipeng Xu,Zhipeng Xu,6,10,0.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I17721919,,https://openalex.org/I4210090354,,,https://openalex.org/I17721919,https://openalex.org/I4210163399,,,,,,,,,,,,,,,,,,,,,,,,,Shanxi Medical University,,Shaanxi Provincial People's Hospital,,,Shanxi Medical University,Shandong First Medical University
Miaojun Wang,3,,https://openalex.org/A5026325208,A5026325208,,Miaojun Wang,"Wang Miaojun, Miaojun Wang",29,580,3.6,11,11,,,,,,,,,,https://openalex.org/I84218800,https://openalex.org/I84218800,,,,,https://openalex.org/I154570441,,,,https://openalex.org/I4210091098,https://openalex.org/I90727586,https://openalex.org/I3019309368,https://openalex.org/I4210091098,,,,,https://openalex.org/I193427800,https://openalex.org/I193427800,https://openalex.org/I193427800,https://openalex.org/I196699116,,,,,,,,,,"University of California, Davis","University of California, Davis",,,,,"University of California, Santa Barbara",,,,Cancer Hospital of Shantou University Medical College,Zhejiang University of Finance and Economics,North Minzu University,Cancer Hospital of Shantou University Medical College,,,,,Applied Materials (United States),Applied Materials (United States),Applied Materials (United States),Wuhan University of Technology
Yuchen Zhu,3,,https://openalex.org/A5033494277,A5033494277,https://orcid.org/0000-0002-7432-7837,Yuchen Zhu,Yuchen Zhu,14,19,1.5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I19820366,,,https://openalex.org/I4210147322,https://openalex.org/I4210147322,https://openalex.org/I4210147322,https://openalex.org/I107639228,,,,,,,,,,,,,,,,,,,,,,,,,Chinese Academy of Sciences,,,Shanghai Institute of Microsystem and Information Technology,Shanghai Institute of Microsystem and Information Technology,Shanghai Institute of Microsystem and Information Technology,University of Notre Dame
Lean Wang,3,,https://openalex.org/A5034611488,A5034611488,,Lean Wang,Lean Wang,9,23,2.5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I20231570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peking University,,
Zhibin Gou,3,,https://openalex.org/A5034928588,A5034928588,https://orcid.org/0000-0001-7356-5449,Zhibin Gou,Zhibin Gou,8,105,6.285714285714286,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I139759216,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beijing University of Posts and Telecommunications,Tsinghua University,,
