id,display_name,author_count
https://openalex.org/I4210161460,OpenAI (United States),49
https://openalex.org/I1291425158,Google (United States),36
https://openalex.org/I63966007,Massachusetts Institute of Technology,24
https://openalex.org/I97018004,Stanford University,24
https://openalex.org/I95457486,"University of California, Berkeley",17
https://openalex.org/I74973139,Carnegie Mellon University,12
https://openalex.org/I136199984,Harvard University,11
https://openalex.org/I205783295,Cornell University,10
https://openalex.org/I57206974,New York University,10
https://openalex.org/I134446601,Berkeley College,9
https://openalex.org/I4210090411,DeepMind (United Kingdom),9
https://openalex.org/I2252078561,Meta (Israel),8
https://openalex.org/I19820366,Chinese Academy of Sciences,8
https://openalex.org/I1290206253,Microsoft (United States),8
https://openalex.org/I241749,University of Cambridge,7
https://openalex.org/I185261750,University of Toronto,7
https://openalex.org/I24185976,Sichuan University,6
https://openalex.org/I201448701,University of Washington,6
https://openalex.org/I99065089,Tsinghua University,6
https://openalex.org/I1283280774,Brigham and Women's Hospital,6
https://openalex.org/I157725225,University of Illinois Urbana-Champaign,6
https://openalex.org/I20089843,Princeton University,6
https://openalex.org/I4210109586,Moscow Institute of Thermal Technology,6
https://openalex.org/I5124864,École Polytechnique Fédérale de Lausanne,5
https://openalex.org/I4210110987,IIT@MIT,5
https://openalex.org/I40120149,University of Oxford,5
https://openalex.org/I169572211,Northeast Agricultural University,5
https://openalex.org/I145311948,Johns Hopkins University,5
https://openalex.org/I2801851002,Harvard University Press,5
https://openalex.org/I4210164937,Microsoft Research (United Kingdom),5
https://openalex.org/I91136226,University of Sheffield,5
https://openalex.org/I138006243,University of Arizona,4
https://openalex.org/I4210137180,Institute of High Energy Physics,4
https://openalex.org/I14243506,Hong Kong Polytechnic University,4
https://openalex.org/I4210140341,Allen Institute,4
https://openalex.org/I180670191,"University of California, San Francisco",4
https://openalex.org/I27837315,University of Michigan,4
https://openalex.org/I185103710,"University of California, Santa Cruz",4
https://openalex.org/I4210138501,Chinese Academy of Agricultural Sciences,4
https://openalex.org/I887064364,University of Amsterdam,4
https://openalex.org/I86519309,The University of Texas at Austin,4
https://openalex.org/I151746483,University of Waterloo,4
https://openalex.org/I79576946,University of Pennsylvania,4
https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,4
https://openalex.org/I135310074,University of Wisconsin–Madison,4
https://openalex.org/I154099455,Shandong University,4
https://openalex.org/I47508984,Imperial College London,3
https://openalex.org/I102335020,Karlsruhe Institute of Technology,3
https://openalex.org/I32971472,Yale University,3
https://openalex.org/I137902535,North Carolina State University,3
https://openalex.org/I20231570,Peking University,3
https://openalex.org/I4210114444,Meta (United States),3
https://openalex.org/I889458895,University of Hong Kong,3
https://openalex.org/I148283060,Lawrence Berkeley National Laboratory,3
https://openalex.org/I122411786,California Institute of Technology,3
https://openalex.org/I4210113520,Brain (Germany),3
https://openalex.org/I150468666,Emory University,3
https://openalex.org/I84218800,"University of California, Davis",3
https://openalex.org/I887968799,RWTH Aachen University,3
https://openalex.org/I149899117,Max Planck Society,3
https://openalex.org/I58610484,Seattle University,3
https://openalex.org/I31683504,Beijing Forestry University,3
https://openalex.org/I78577930,Columbia University,3
https://openalex.org/I165779595,The University of Melbourne,3
https://openalex.org/I46247651,University of Manitoba,3
https://openalex.org/I140221134,Anhui Agricultural University,3
https://openalex.org/I4210099336,Menlo School,3
https://openalex.org/I161318765,"University of California, Los Angeles",3
https://openalex.org/I4210119109,Indiana University Bloomington,3
https://openalex.org/I16835326,University of St Andrews,3
https://openalex.org/I149919469,California Polytechnic State University,3
https://openalex.org/I98677209,University of Edinburgh,3
https://openalex.org/I9224756,Northeastern University,3
https://openalex.org/I52357470,The Ohio State University,3
https://openalex.org/I150229711,University of Electronic Science and Technology of China,3
https://openalex.org/I51441396,Bauhaus-Universität Weimar,3
https://openalex.org/I87445476,Xi'an Jiaotong University,3
https://openalex.org/I24943067,Fudan University,3
https://openalex.org/I223532165,University of Utah,3
https://openalex.org/I45129253,University College London,3
https://openalex.org/I92156820,University of Cincinnati Medical Center,3
https://openalex.org/I35440088,ETH Zurich,3
https://openalex.org/I4210137306,Stanford Medicine,3
https://openalex.org/I56590836,Monash University,3
https://openalex.org/I183067930,Shanghai Jiao Tong University,3
