id,institution_name,direct_author_count,total_author_count,direct_works_count,total_works_count,direct_citations,total_citations,num_children,num_ancestors,has_parent,is_parent
https://openalex.org/I173911158,Iowa State University,1,1,181987,181987,4612412,4612412,2,0,False,True
https://openalex.org/I2799833905,Basque Culinary Center,1,1,179,179,2335,2335,0,0,False,False
https://openalex.org/I126307644,University of Iowa,1,1,175916,175916,6771041,6771041,4,0,False,True
https://openalex.org/I2803004286,Taipei Veterans General Hospital,1,1,30905,30905,794718,794718,0,0,False,False
https://openalex.org/I165932596,National University of Singapore,1,1,234913,234913,8232338,8232338,4,0,False,True
https://openalex.org/I4210159652,Islamic Azad University Islamshahr Branch,1,1,1562,1562,23965,23965,0,1,True,False
https://openalex.org/I4210089693,Pain Management Institute,1,1,1572,1572,39706,39706,0,0,False,False
https://openalex.org/I1296644651,Howard Brown Health Center,1,1,347,347,18445,18445,0,0,False,False
https://openalex.org/I4210158803,Rigetti Computing (United States),1,1,170,170,3735,3735,0,0,False,False
https://openalex.org/I2801862240,Research Manitoba,1,1,2348,2348,65908,65908,0,0,False,False
https://openalex.org/I4210129701,Institute of High Energy Physics,1,1,3491,3491,152962,152962,0,1,True,False
https://openalex.org/I4210107571,Jiangxi Provincial People's Hospital,1,1,3065,3065,29857,29857,0,0,False,False
https://openalex.org/I4210163870,United States Army Research Office,1,1,1467,1467,35377,35377,0,2,True,False
https://openalex.org/I129801699,University of Tasmania,1,1,59585,59585,1757593,1757593,20,0,False,True
https://openalex.org/I151808059,Colorado School of Public Health,1,1,7788,7788,253628,253628,0,0,False,False
https://openalex.org/I4210146685,National Institute for Communicable Disease Control and Prevention,1,1,3732,3732,91729,91729,0,1,True,False
https://openalex.org/I125932930,Parks Canada,1,1,1552,1552,38004,38004,47,0,False,True
https://openalex.org/I2799803374,Anne Arundel Medical Center,1,1,938,938,14805,14805,0,0,False,False
https://openalex.org/I4210108906,China Metallurgical Geology Bureau,1,1,1141,1141,9471,9471,0,0,False,False
https://openalex.org/I1286490081,Boston Medical Center,1,1,24271,24271,980880,980880,0,0,False,False
https://openalex.org/I146122375,Medical University of Białystok,1,1,17965,17965,278861,278861,0,0,False,False
https://openalex.org/I162838928,National Chung Hsing University,1,1,35376,35376,811584,811584,0,0,False,False
https://openalex.org/I108688024,Qingdao University,1,1,64234,64234,1000607,1000607,0,0,False,False
https://openalex.org/I74485261,Shandong Agricultural University,1,1,22441,22441,380910,380910,1,0,False,True
https://openalex.org/I2800235667,Kurchatov Institute,1,1,30183,30183,485038,485038,1,0,False,True
https://openalex.org/I4210138594,Rede de Química e Tecnologia,1,1,18126,18126,504429,504429,1,0,False,True
https://openalex.org/I93979751,"Islamic Azad University, Bojnourd Branch",1,1,730,730,5329,5329,0,1,True,False
https://openalex.org/I267592682,Williams (United States),1,1,18449,18449,605854,605854,0,0,False,False
https://openalex.org/I4210147586,Texas Children's Hospital,1,1,24847,24847,717231,717231,0,0,False,False
https://openalex.org/I4210091849,Bhabha Atomic Research Center Hospital,1,1,2216,2216,57890,57890,0,2,True,False
https://openalex.org/I128277893,Bahçeşehir University,1,1,8876,8876,131308,131308,0,0,False,False
https://openalex.org/I4210092032,China Institute of Water Resources and Hydropower Research,1,1,10398,10398,134079,134079,1,0,False,True
https://openalex.org/I4210135357,Institut Universitaire de Cardiologie et de Pneumologie de Québec,1,1,5369,5369,215409,215409,0,0,False,False
https://openalex.org/I12912129,Northeastern University,1,1,68550,68550,2229793,2229793,4,0,False,True
