id,author_count,display_name,type,country,city,display_name_acronyms,display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,wikipedia,associated_institutions_children,children_ids,associated_institutions_parent,parent_ids
https://openalex.org/I27837315,5,University of Michigan,education,United States,Ann Arbor,UM,UMich; University of Michigan; University of Michigan–Ann Arbor; Université du Michigan,963774,62853440,3.2893178931417917,2051,649351,http://en.wikipedia.org/wiki/University_of_Michigan,Michigan Sea Grant; Michigan Space Grant Consortium; Inter-university Consortium for Political and Social Research; University of Michigan Press; University of Michigan Biological Station; Cooperative Institute for Great Lakes Research; Center for Complex Particle Systems; Zettawatt-Equivalent Ultrashort pulse laser System; Institute for Social Research,https://openalex.org/I4210104572; https://openalex.org/I4210163254; https://openalex.org/I4387153780; https://openalex.org/I4387153798; https://openalex.org/I4387930282; https://openalex.org/I4402554065; https://openalex.org/I4404532909; https://openalex.org/I4405258370; https://openalex.org/I4405258921,,
https://openalex.org/I74973139,5,Carnegie Mellon University,education,United States,Pittsburgh,CMU,Carnegie Mellon University,153999,15927431,3.588243735828478,1124,164961,http://en.wikipedia.org/wiki/Carnegie_Mellon_University,Software Engineering Institute; Center for the Neural Basis of Cognition; Carnegie Mellon University Qatar; Carnegie Mellon University Australia; Carnegie Mellon University Africa; Advanced Cyberinfrastructure Coordination Ecosystem: Services & Support; Carnegie Mellon Portugal,https://openalex.org/I114772536; https://openalex.org/I4210086114; https://openalex.org/I4210089979; https://openalex.org/I4210091826; https://openalex.org/I4210130200; https://openalex.org/I4387152812; https://openalex.org/I4405255118,,
https://openalex.org/I130701444,4,Georgia Institute of Technology,education,United States,Atlanta,GT,Georgia Institute of Technology; Georgia Tech; Instituto de Tecnología de Georgia,190786,17239954,3.5144826657086403,1114,200529,http://en.wikipedia.org/wiki/Georgia_Institute_of_Technology,The Wallace H. Coulter Department of Biomedical Engineering; Georgia Tech-CNRS Laboratory; Georgia Space Grant Consortium; Center for Translational Research in Neuroimaging and Data Science; Georgia Tech Research Institute,https://openalex.org/I2802612298; https://openalex.org/I4210089931; https://openalex.org/I4210101104; https://openalex.org/I4210133909; https://openalex.org/I4388482740,University System of Georgia,https://openalex.org/I1289702989
https://openalex.org/I4401726785,4,Microsoft Research New York City (United States),company,United States,New York,MSR-NYC,Microsoft Research New York; Microsoft Research New York City; Microsoft Research New York City (United States),410,36167,10.942028985507246,91,322,,,,Microsoft (United States),https://openalex.org/I1290206253
https://openalex.org/I19820366,4,Chinese Academy of Sciences,government,China,Beijing,CAS,Chinese Academy of Sciences; 中国科学院,972587,107929084,5.616717234383632,1607,1714793,http://en.wikipedia.org/wiki/Chinese_Academy_of_Sciences,"University of Science and Technology of China; Kunming Institute of Botany; Shenyang Institute of Automation; Dalian Institute of Chemical Physics; Kunming Institute of Zoology; Shanghai Astronomical Observatory; Xishuangbanna Tropical Botanical Garden; Beijing Institute of Genomics; Guangzhou Institutes of Biomedicine and Health; Purple Mountain Observatory; Hefei Institutes of Physical Science; Guangzhou Institute of Geochemistry; Technology and Engineering Center for Space Utilization; Institute of Vertebrate Paleontology and Paleoanthropology; Changchun Institute of Optics, Fine Mechanics and Physics; Lanzhou Institute of Chemical Physics; Institute of Hydrobiology; Institute of Computing Technology; Suzhou Institute of Nano-tech and Nano-bionics; Suzhou Institute of Biomedical Engineering and Technology; Changchun Institute of Applied Chemistry; National Time Service Center; Institute for History of Natural Sciences; Shanghai Institute of Nutrition and Health; Institut Pasteur of Shanghai; Center for Excellence in Brain Science and Intelligence Technology; Institute of Acoustics; Institute of Oceanology; Northeast Institute of Geography and Agroecology; Xinjiang Institute of Ecology and Geography; South China Sea Institute Of Oceanology; Nanjing Institute of Geology and Paleontology; Xinjiang Technical Institute of Physics & Chemistry; Shanghai Institutes for Biological Sciences; Northwest Institute of Eco-Environment and Resources; Wuhan Institute of Virology; Institute of Subtropical Agriculture; Yantai Institute of Coastal Zone Research; Computer Network Information Center; Institute of Applied Ecology; Institute of Electronics; Shanghai Advanced Research Institute; Institute of Automation; Institute of Biophysics; Shanghai Institute of Materia Medica; Shanghai Institute of Organic Chemistry; National Space Science Center; Botanical Society of China; Institutes of Science and Development; Fujian Institute of Research on the Structure of Matter; Institute of Microelectronics; Institute of Urban Environment; Institute of Engineering Thermophysics; Academy of Mathematics and Systems Science; South China Botanical Garden; Center for Excellence in Molecular Cell Science; Wuhan Botanical Garden; Chongqing Institute of Green and Intelligent Technology; Shanghai Institute of Applied Physics; Institute of Genetics and Developmental Biology; Institute of Mountain Hazards and Environment; Institute of Theoretical Physics; Institute of Geology and Geophysics; Institute of Metal Research; Institute of Remote Sensing and Digital Earth; Institute of Optics and Electronics, Chinese Academy of Sciences; Guangzhou Institute of Energy Conversion; Institute of Software; Institute of Electrical Engineering; Institute of Modern Physics; Institute of Psychology, Chinese Academy of Sciences; Institute of Process Engineering; Nanjing Institute of Geography and Limnology; Institute of Microbiology; Shanghai Institute of Optics and Fine Mechanics; Shanghai Institute of Technical Physics; Institute of Geochemistry; Institute of High Energy Physics; Aerospace Information Research Institute; Tianjin Institute of Industrial Biotechnology; Center for Excellence in Molecular Plant Sciences; Institute of Rock and Soil Mechanics; Technical Institute of Physics and Chemistry; Institute of Tibetan Plateau Research; National Center for Nanoscience and Technology; Research Center for Eco-Environmental Sciences; Xi'an Institute of Optics and Precision Mechanics; Shenzhen Institutes of Advanced Technology; Shanghai Institute of Microsystem and Information Technology; National Science Library; Institute of Semiconductors; Academy of Opto-Electronics; Institute of Atmospheric Physics; Chengdu Institute of Biology; Institute of Deep-Sea Science and Engineering; Institute of Chemistry; Institute of Information Engineering; Institute of Mechanics; Institute of Botany; Qingdao Institute of Bioenergy and Bioprocess Technology; Institute of Earth Environment; Institute of Physics; Institute of Coal Chemistry; Institute of Geographic Sciences and Natural Resources Research; Shanghai Institute of Ceramics; National Astronomical Observatories; University of Chinese Academy of Sciences; Beijing Advanced Sciences and Innovation Center; Ningbo Institute of Industrial Technology; Institute of Soil Science; Institute of Zoology; Key Laboratory of Zoological Systematics and Evolution; Innovation Academy for Microsatellites of Chinese Academy of Sciences; Northwest Institute of Plateau Biology; Sino-Africa Joint Research Center; Hangzhou Institute of Medicine, Chinese Academy of Sciences; Institute Academy for Precision Measurment Science and Technology, CAS; Qinghai Institute of Salt Lakes",https://openalex.org/I126520041; https://openalex.org/I13850615; https://openalex.org/I142078773; https://openalex.org/I180585399; https://openalex.org/I18489884; https://openalex.org/I2799714274; https://openalex.org/I2801454379; https://openalex.org/I2801577699; https://openalex.org/I2802148028; https://openalex.org/I2802340896; https://openalex.org/I2802624667; https://openalex.org/I3018690959; https://openalex.org/I4210086028; https://openalex.org/I4210086287; https://openalex.org/I4210088164; https://openalex.org/I4210089297; https://openalex.org/I4210089584; https://openalex.org/I4210090176; https://openalex.org/I4210092495; https://openalex.org/I4210092817; https://openalex.org/I4210092888; https://openalex.org/I4210093645; https://openalex.org/I4210095609; https://openalex.org/I4210096013; https://openalex.org/I4210096219; https://openalex.org/I4210097554; https://openalex.org/I4210099069; https://openalex.org/I4210101167; https://openalex.org/I4210101301; https://openalex.org/I4210103115; https://openalex.org/I4210103685; https://openalex.org/I4210103797; https://openalex.org/I4210106108; https://openalex.org/I4210106477; https://openalex.org/I4210106526; https://openalex.org/I4210106882; https://openalex.org/I4210107235; https://openalex.org/I4210108244; https://openalex.org/I4210108629; https://openalex.org/I4210110024; https://openalex.org/I4210110458; https://openalex.org/I4210111959; https://openalex.org/I4210112150; https://openalex.org/I4210112540; https://openalex.org/I4210112820; https://openalex.org/I4210112946; https://openalex.org/I4210115570; https://openalex.org/I4210115799; https://openalex.org/I4210116191; https://openalex.org/I4210119098; https://openalex.org/I4210119392; https://openalex.org/I4210119653; https://openalex.org/I4210120320; https://openalex.org/I4210120485; https://openalex.org/I4210120696; https://openalex.org/I4210121447; https://openalex.org/I4210122269; https://openalex.org/I4210123021; https://openalex.org/I4210123885; https://openalex.org/I4210124606; https://openalex.org/I4210124748; https://openalex.org/I4210125404; https://openalex.org/I4210126061; https://openalex.org/I4210126304; https://openalex.org/I4210128053; https://openalex.org/I4210128284; https://openalex.org/I4210128491; https://openalex.org/I4210128818; https://openalex.org/I4210128819; https://openalex.org/I4210131271; https://openalex.org/I4210131870; https://openalex.org/I4210133325; https://openalex.org/I4210134482; https://openalex.org/I4210134982; https://openalex.org/I4210135349; https://openalex.org/I4210135723; https://openalex.org/I4210135735; https://openalex.org/I4210137180; https://openalex.org/I4210137199; https://openalex.org/I4210139473; https://openalex.org/I4210139738; https://openalex.org/I4210140379; https://openalex.org/I4210140689; https://openalex.org/I4210141476; https://openalex.org/I4210141483; https://openalex.org/I4210144289; https://openalex.org/I4210144662; https://openalex.org/I4210145761; https://openalex.org/I4210147322; https://openalex.org/I4210148850; https://openalex.org/I4210149211; https://openalex.org/I4210151155; https://openalex.org/I4210152758; https://openalex.org/I4210152908; https://openalex.org/I4210154862; https://openalex.org/I4210155088; https://openalex.org/I4210156404; https://openalex.org/I4210157653; https://openalex.org/I4210158097; https://openalex.org/I4210158139; https://openalex.org/I4210159790; https://openalex.org/I4210159876; https://openalex.org/I4210159903; https://openalex.org/I4210160793; https://openalex.org/I4210163874; https://openalex.org/I4210164580; https://openalex.org/I4210165038; https://openalex.org/I4210165198; https://openalex.org/I4210165339; https://openalex.org/I4210165559; https://openalex.org/I4210167311; https://openalex.org/I4387153529; https://openalex.org/I4387154354; https://openalex.org/I4387155266; https://openalex.org/I4387155549; https://openalex.org/I4405261136; https://openalex.org/I4405261497; https://openalex.org/I4405263408,,
https://openalex.org/I185261750,4,University of Toronto,education,Canada,Toronto,,University of Toronto; Université de Toronto,539687,55839903,3.718209742842516,1737,631806,https://en.wikipedia.org/wiki/University_of_Toronto,Ted Rogers Centre for Heart Research; Canadian Institute for Theoretical Astrophysics; AGE-WELL; Sunnybrook Research Institute; Fields Institute for Research in Mathematical Sciences,https://openalex.org/I4210091032; https://openalex.org/I4210110940; https://openalex.org/I4388891821; https://openalex.org/I4391768120; https://openalex.org/I9267121,,
https://openalex.org/I4210164937,4,Microsoft Research (United Kingdom),company,United Kingdom,Cambridge,,Microsoft Research (United Kingdom),20964,3130220,6.276074925500213,571,16228,https://en.wikipedia.org/wiki/Microsoft_Research,The Microsoft Research - University of Trento Centre for Computational and Systems Biology,https://openalex.org/I2802934434,Microsoft (United States),https://openalex.org/I1290206253
https://openalex.org/I20089843,4,Princeton University,education,United States,Princeton,,College of New Jersey; Princeton University; Universidad de Princeton; Université de princeton,206891,25472398,6.230521869464504,1481,217283,http://en.wikipedia.org/wiki/Princeton_University,Center for Discrete Mathematics and Theoretical Computer Science; Princeton Plasma Physics Laboratory; National Spherical Torus Experiment – Upgrade,https://openalex.org/I2799411422; https://openalex.org/I2799567181; https://openalex.org/I4390039301,,
https://openalex.org/I76130692,4,Zhejiang University,education,China,Hangzhou,ZJU,Chekiang University; Zheda; Zhejiang University; 浙江大学,355911,27582071,4.795938577300451,900,493784,http://en.wikipedia.org/wiki/Zhejiang_University,Huzhou Central Hospital; Collaborative Innovation Center of Advanced Microstructures; Zhejiang University-University of Edinburgh Institute; Zhejiang Taizhou Hospital; The Synergetic Innovation Center for Advanced Materials; State Key Laboratory of Modern Optical Instruments; State Key Laboratory of Clean Energy Utilization; State Key Laboratory Fluid Power and Mechatronic Systems; State Key Laboratory of Silicon Materials; State Key Laboratory of Rice Biology; State Key Laboratory of Industrial Control Technology; State Key Laboratory of Computer Aided Design and Graphics; State Key Laboratory of Diagnosis and Treatment of Infectious Diseases; State Key Laboratory of Plant Physiology and Biochemistry; Zhejiang University Robotics Institute,https://openalex.org/I4210105567; https://openalex.org/I4210140493; https://openalex.org/I4210158570; https://openalex.org/I4210158774; https://openalex.org/I4210159340; https://openalex.org/I4391767668; https://openalex.org/I4391767671; https://openalex.org/I4391767679; https://openalex.org/I4391767789; https://openalex.org/I4391767812; https://openalex.org/I4391767838; https://openalex.org/I4391767862; https://openalex.org/I4391768041; https://openalex.org/I4391768222; https://openalex.org/I4405263196,,
https://openalex.org/I889458895,4,University of Hong Kong,education,Hong Kong,Pok Fu Lam,HKU,Hong Kong University; University of Hong Kong,219228,20824507,4.195892507411252,1127,260487,http://en.wikipedia.org/wiki/University_of_Hong_Kong,Institute of Molecular Functional Materials; State Key Laboratory of Synthetic Chemistry,https://openalex.org/I4210094881; https://openalex.org/I4210130449,,
