Author,OA_ID,unique_affiliation_count,all_china,some_china,some_usa,all_countries,affiliation_display_name_2026,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2025,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2024,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2023,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2022,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2021,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2020,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2019,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2018,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2017,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2016,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2015,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2014,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2013,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2012,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2011,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2010,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2009,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2008,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2007,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2006,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2005,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2004,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2003,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2002,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2001,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2000,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_1999,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1998,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1997,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1996,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1995,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1994,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1993,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1992,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1991,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1990,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1989,affiliation_id_1989,affiliation_country_1989,affiliation_display_name_1988,affiliation_id_1988,affiliation_country_1988,affiliation_display_name_1987,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1986,affiliation_id_1986,affiliation_country_1986,affiliation_display_name_1985,affiliation_id_1985,affiliation_country_1985,affiliation_display_name_1984,affiliation_id_1984,affiliation_country_1984,affiliation_display_name_1983,affiliation_id_1983,affiliation_country_1983,affiliation_display_name_1982,affiliation_id_1982,affiliation_country_1982,affiliation_display_name_1979,affiliation_id_1979,affiliation_country_1979,affiliation_display_name_1976,affiliation_id_1976,affiliation_country_1976,affiliation_display_name_1962,affiliation_id_1962,affiliation_country_1962,affiliation_display_name_1959,affiliation_id_1959,affiliation_country_1959,affiliation_display_name_1944,affiliation_id_1944,affiliation_country_1944,affiliation_display_name_1936,affiliation_id_1936,affiliation_country_1936,affiliation_display_name_1923,affiliation_id_1923,affiliation_country_1923
A. Feder Cooper,A5064217008,4,False,False,True,Bulgaria; United Kingdom; United States,,,,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,,,,,,,,,,,,,,,,,,,University of Oxford,https://openalex.org/I40120149,United Kingdom,,,,,,,,,,,,,Center for the Study of Democracy,https://openalex.org/I1324611689,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Co,A5120056007,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aashi Jain,A5102625659,1,False,False,False,India,Shyam Shah Medical College,https://openalex.org/I2802366294,India,,,,Shyam Shah Medical College,https://openalex.org/I2802366294,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abheesht Sharma,A5112620294,2,False,False,False,India,"Birla Institute of Technology and Science, Pilani - Goa Campus",https://openalex.org/I4210148827,India,,,,,,,,,,"Birla Institute of Technology and Science, Pilani",https://openalex.org/I74796645,India,"Birla Institute of Technology and Science, Pilani",https://openalex.org/I74796645,India,"Birla Institute of Technology and Science, Pilani",https://openalex.org/I74796645,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail Jacobs,A5062776849,11,False,False,True,United States,,,,University of Michigan–Ann Arbor,https://openalex.org/I27837315,United States,Wesleyan University,https://openalex.org/I100538780,United States,Seeqc (United States),https://openalex.org/I4210143595,United States,Island Hospital,https://openalex.org/I4210122485,United States,University of Colorado System,https://openalex.org/I2802236040,United States,United States Food and Drug Administration,https://openalex.org/I1320320070,United States,United States Food and Drug Administration,https://openalex.org/I1320320070,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,United States Food and Drug Administration,https://openalex.org/I1320320070,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,,,,Rutgers New Jersey Medical School,https://openalex.org/I4402554120,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Jacobs (United States),https://openalex.org/I4210150894,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Buffalo BioLabs,https://openalex.org/I4210159785,United States,,,,,,,,,,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,,,,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,,,,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,,,,,,,,,,,,,,,,National Institute of Environmental Health Sciences,https://openalex.org/I4210095140,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Charles Roberts,A5076243636,7,False,False,False,Australia; Singapore; Switzerland; United Kingdom,,,,CREATe Centre,https://openalex.org/I4210146168,United Kingdom,Deutsche Telekom (Singapore),https://openalex.org/I4210103465,Singapore,Deutsche Telekom (Singapore),https://openalex.org/I4210103465,Singapore,Western Sydney University,https://openalex.org/I63525965,Australia,ETH Zurich,https://openalex.org/I35440088,Switzerland,Nanyang Technological University,https://openalex.org/I172675005,Singapore,Nanyang Technological University,https://openalex.org/I172675005,Singapore,Nanyang Technological University,https://openalex.org/I172675005,Singapore,Nanyang Technological University,https://openalex.org/I172675005,Singapore,Nanyang Technological University,https://openalex.org/I172675005,Singapore,Nanyang Technological University,https://openalex.org/I172675005,Singapore,University of Oxford,https://openalex.org/I40120149,United Kingdom,,,,,,,,,,,,,University of Sheffield,https://openalex.org/I91136226,United Kingdom,University of Sheffield,https://openalex.org/I91136226,United Kingdom,University of Sheffield,https://openalex.org/I91136226,United Kingdom,University of Sheffield,https://openalex.org/I91136226,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Oxford,https://openalex.org/I40120149,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adham Elarabawy,A5120056006,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Sasha Vezhnevets,A5030684417,3,False,False,True,United Kingdom; United States,,,,Google (United Kingdom),https://openalex.org/I4210113297,United Kingdom,,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,,,,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Chouldechova,A5057438082,3,False,False,True,United States,,,,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,,,,Carnegie Mellon University,https://openalex.org/I74973139,United States,Children's Hospital at Montefiore,https://openalex.org/I4210135976,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,,,,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Lisak,A5120056003,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
