Author,No. Papers,Notes,OA_Profile,OA_ID,Papers
Mojtaba Seyedhosseini,2,,https://openalex.org/A5053494387,A5053494387,"5, 6"
Nicolas Papernot,1,,https://openalex.org/A5018809423,A5018809423,3
Nicole Mitchell,1,,https://openalex.org/A5115087478,A5115087478,3
Nilesh Tripuraneni,1,,https://openalex.org/A5026221871,A5026221871,1
Niloofar Mireshghallah,1,,https://openalex.org/A5093022042,A5093022042,3
Nishanth Dikkala,1,,https://openalex.org/A5000758286,A5000758286,1
Nithi Gupta,1,,https://openalex.org/A5031048937,A5031048937,5
Nithya Attaluri,1,,https://openalex.org/A5002701525,A5002701525,1
Olivier Lacombe,1,,https://openalex.org/A5010285605,A5010285605,6
Omar Sanseviero,1,,https://openalex.org/A5119790513,A5119790513,6
Orhan Fırat,1,,https://openalex.org/A5035914396,A5035914396,1
Pamela Samuelson,1,,https://openalex.org/A5111562753,A5111562753,3
Parashar Shah,1,,https://openalex.org/A5114111243,A5114111243,5
Paul Suganthan,2,,https://openalex.org/A5104217740,A5104217740,"5, 6"
Percy Liang,1,,https://openalex.org/A5025255782,A5025255782,3
Peter Kairouz,1,,https://openalex.org/A5099137347,A5099137347,3
Peter Sunehag,1,,https://openalex.org/A5046100176,A5046100176,4
Qin Yin,1,,https://openalex.org/A5101888648,A5101888648,6
Quoc V. Le,1,,https://openalex.org/A5088551093,A5088551093,1
Rajkumar Vasudeva Raju,1,,https://openalex.org/A5072064524,A5072064524,2
Rakesh Ghiya,1,,https://openalex.org/A5002817835,A5002817835,5
Rakesh Shivanna,1,,https://openalex.org/A5080937560,A5080937560,1
Raphael Hoffmann,2,,https://openalex.org/A5060819264,A5060819264,"5, 6"
Raphaël Koster,1,,https://openalex.org/A5082942104,A5082942104,4
Ravin Kumar,1,,https://openalex.org/A5029766994,A5029766994,6
Renjie Wu,1,,https://openalex.org/A5067062697,A5067062697,6
Rohan Anil,1,,https://openalex.org/A5104083306,A5104083306,1
Roopali Vij,1,,https://openalex.org/A5114389191,A5114389191,1
Ryan Mullins,1,,https://openalex.org/A5060942165,A5060942165,6
Sahil Dua,2,,https://openalex.org/A5005885438,A5005885438,"5, 6"
Sai Meher Karthik Duddu,2,,https://openalex.org/A5000713013,A5000713013,"5, 6"
Sandeep Mariserla,2,,https://openalex.org/A5119748842,A5119748842,"5, 6"
Sanil Jain,1,,https://openalex.org/A5068218873,A5068218873,1
Sanmi Koyejo,1,,https://openalex.org/A5091266570,A5091266570,3
Santiago Ontañón,1,,https://openalex.org/A5038686010,A5038686010,1
Sara Smoot,1,,https://openalex.org/A5120056013,A5120056013,6
Setareh Ariafar,1,,https://openalex.org/A5120056010,A5120056010,6
Seth Neel,1,,https://openalex.org/A5115087480,A5115087480,3
Shahrokh Shahi,1,,https://openalex.org/A5006702404,A5006702404,5
Shanfeng Zhang,2,,https://openalex.org/A5045569652,A5045569652,"5, 6"
Sheng‐Xiang Qiu,1,,https://openalex.org/A5089738575,A5089738575,6
Shijie Zhang,1,,https://openalex.org/A5100669780,A5100669780,6
Shuo Huang,1,,https://openalex.org/A5025977715,A5025977715,5
Siamak Shakeri,1,,https://openalex.org/A5034084374,A5034084374,1
Simon Baumgartner,2,,https://openalex.org/A5106425585,A5106425585,"5, 6"
Simon Osindero,1,,https://openalex.org/A5052435039,A5052435039,4
Sindhu Raghuram Panyam,1,,https://openalex.org/A5120056011,A5120056011,6
Sivaramakrishnan Swaminathan,1,,https://openalex.org/A5084026944,A5084026944,2
Solon Barocas,1,,https://openalex.org/A5074825066,A5074825066,3
Sonam Goenka,2,,https://openalex.org/A5027066139,A5027066139,"5, 6"
Stanley Bileschi,1,,https://openalex.org/A5089687759,A5089687759,4
Tanmaya Dabral,1,,https://openalex.org/A5031406817,A5031406817,6
Thomas Mesnard,1,,https://openalex.org/A5082334070,A5082334070,6
Tom Duerig,2,,https://openalex.org/A5032382472,A5032382472,"5, 6"
Trevor Walker,2,,https://openalex.org/A5004317848,A5004317848,"5, 6"
Tris Warkentin,1,,https://openalex.org/A5093219820,A5093219820,6
Vikram R. Rao,1,,https://openalex.org/A5017216339,A5017216339,6
Vikram Rao,1,,https://openalex.org/A5101777543,A5101777543,5
Vinay Ramasesh,1,,https://openalex.org/A5059753414,A5059753414,1
Vitaly Shmatikov,1,,https://openalex.org/A5115087479,A5115087479,3
Waleed Khawaja,1,,https://openalex.org/A5120056012,A5120056012,6
Weiyi Wang,1,,https://openalex.org/A5100656086,A5100656086,6
Wenlei Zhou,2,,https://openalex.org/A5058224708,A5058224708,"5, 6"
William A. Cunningham,1,,https://openalex.org/A5033381741,A5033381741,4
William Isaac,1,,https://openalex.org/A5048272174,A5048272174,4
Wolfgang Lehrach,1,,https://openalex.org/A5053090974,A5053090974,2
Xiaoqi Ren,2,,https://openalex.org/A5094302697,A5094302697,"5, 6"
Yangsibo Huang,1,,https://openalex.org/A5082426637,A5082426637,3
Ye Xia,2,,https://openalex.org/A5056476802,A5056476802,"5, 6"
Yejin Choi,1,,https://openalex.org/A5109705925,A5109705925,3
Yi-Chang Chen,1,,https://openalex.org/A5101438453,A5101438453,5
Yichang Chen,1,,https://openalex.org/A5066724519,A5066724519,6
Yifeng Lu,1,,https://openalex.org/A5069653714,A5069653714,1
Yi‐Ting Chen,1,,https://openalex.org/A5100348259,A5100348259,6
Yun-Hsuan Sung,2,,https://openalex.org/A5113807382,A5113807382,"5, 6"
Zach Gleicher,2,,https://openalex.org/A5093547791,A5093547791,"5, 6"
Zhe Dong,2,,https://openalex.org/A5101842429,A5101842429,"5, 6"
Zhe Li,2,,https://openalex.org/A5100356685,A5100356685,"5, 6"
Zhongli Ding,1,,https://openalex.org/A5101154677,A5101154677,6
danah boyd,1,,https://openalex.org/A5009029178,A5009029178,3
