Author ID,Author Name,Work ID,Title,DOI,Year,Publication Date,Type,Language,Citations,Topics,Co-Authors
https://openalex.org/A5044355459,Chenzhuang Du,https://openalex.org/W3176157254,Improving Multi-Modal Learning with Uni-Modal Teachers,https://doi.org/10.48550/arxiv.2106.11059,2021,2021-01-01,preprint,en,24,"Speech and Audio Processing, Music and Audio Processing, Hearing Loss and Rehabilitation","Tingle Li, Yichen Liu, Zixin Wen, Tianyu Hua, Yue Wang, Hang Zhao"
https://openalex.org/A5044355459,Chenzhuang Du,https://openalex.org/W4368618727,On Uni-Modal Feature Learning in Supervised Multi-Modal Learning,https://doi.org/10.48550/arxiv.2305.01233,2023,2023-01-01,preprint,en,5,"Speech and Audio Processing, Music and Audio Processing","Jiaye Teng, Tingle Li, Yichen Liu, Tianyuan Yuan, Yue Wang, Yuan Yang, Hang Zhao"
https://openalex.org/A5044355459,Chenzhuang Du,https://openalex.org/W3088082505,Secure Data Sharing With Flow Model,https://doi.org/10.48550/arxiv.2009.11762,2020,2020-01-01,preprint,en,3,"Privacy-Preserving Technologies in Data, Cryptography and Data Security, Chaos-based Image/Signal Encryption","Chenwei Wu, Yuan Yang"
https://openalex.org/A5044355459,Chenzhuang Du,https://openalex.org/W3166100196,What Makes Multimodal Learning Better than Single (Provably),,2021,2021-06-08,preprint,en,2,"Multimodal Machine Learning Applications, Topic Modeling, Domain Adaptation and Few-Shot Learning","Yu Huang, Zihui Xue, Xuanyao Chen, Hang Zhao, Longbo Huang"
https://openalex.org/A5044355459,Chenzhuang Du,https://openalex.org/W3176365423,Intrinsically Motivated Self-supervised Learning in Reinforcement Learning,https://doi.org/10.1109/icra46639.2022.9812213,2022,2022-05-23,article,en,1,"Reinforcement Learning in Robotics, Adaptive Dynamic Programming Control, Domain Adaptation and Few-Shot Learning","Yue Zhao, Hang Zhao, Tiejun Li"
https://openalex.org/A5044355459,Chenzhuang Du,https://openalex.org/W4387559781,Improving Discriminative Multi-Modal Learning with Large-Scale Pre-Trained Models,https://doi.org/10.48550/arxiv.2310.05193,2023,2023-01-01,preprint,en,0,"Speech and Audio Processing, Music and Audio Processing","Yue Zhao, Chonghua Liao, Jiacheng You, Jie Fu, Hang Zhao"
https://openalex.org/A5044355459,Chenzhuang Du,https://openalex.org/W4387561037,What Makes for Robust Multi-Modal Models in the Face of Missing Modalities?,https://doi.org/10.48550/arxiv.2310.06383,2023,2023-01-01,preprint,en,0,"Speech and Audio Processing, Music and Audio Processing, Speech Recognition and Synthesis","Siting Li, Yue Zhao, Yu Huang, Hang Zhao"
https://openalex.org/A5044355459,Chenzhuang Du,https://openalex.org/W4307592892,Intrinsically Motivated Self-supervised Learning in Reinforcement Learning,https://doi.org/10.48550/arxiv.2106.13970,2021,2021-01-01,preprint,en,0,"Reinforcement Learning in Robotics, Neuroscience and Neural Engineering, Advanced Fluorescence Microscopy Techniques","Yue Zhao, Hang Zhao, Tiejun Li"
https://openalex.org/A5046162247,Dehao Zhang,https://openalex.org/W4406774573,Kimi k1.5: Scaling Reinforcement Learning with LLMs,https://doi.org/10.48550/arxiv.2501.12599,2025,2025-01-21,preprint,en,3,"Robot Manipulation and Learning, Machine Learning and Data Classification, Machine Learning and Algorithms","Kimi Team, Angang Du, Bofei Gao, Bowei Xing, C. H. Jiang, Cheng Chen, Cheng Li, Chenjun Xiao, Chenzhuang Du, Chengde Liao, C.A. Tang, Congcong Wang, Enming Yuan, Enzhe Lu, Fengxiang Tang, Flood Sung, Gang Wei, Guokun Lai, Haiqing Guo, Han Zhu, Hao Ding, Hao Hu, Hao-Tsung Yang, Hao Zhang, Haotian Yao, H. W. Zhao, Haoyu Lu, Haoze Li, Haozhen Yu, Hongcheng Gao, Huabin Zheng, Huan Yuan, Jia Chen, Jianhang Guo, Jianlin Su, Jianzhou Wang, J. Zhao, Jin Zhang, Junming Liu, Junjie Yan, Junyan Wu, Lidong Shi, Ling Ye, Longhui Yu, Mengjiao Dong, Nan Zhang, Ningchen Ma, Qiwei Pan, Qucheng Gong, Shaowei Liu, Shengling Ma, Shupeng Wei, Shifeng Cao, Siying Huang, Tao Jiang, Weihao Gao, Xiong Weijun, W. He, Weixiao Huang, Wenhao Wu, Wenyang He, Xianghui Wei, Xianqing Jia, Xingzhe Wu, Xinran Xu, Xinxing Zu, X. H. Zhou, Xuehai Pan, Y F Young Charles, Yang Li, Yangyang Hu, Yangyang Liu, Yanru Chen, Y. Q. Wang, Y. Liu, Yiming Qin, Yifeng Liu, Yingguo Yang, Yiping Bao, Yulun Du, Yuxin Wu, Yuzhi Wang, Zaida Zhou, Z B Wang, Zhaowei Li, Zhen Zhu, Zheng Zhang, Z. T. Wang, Zhilin Yang, Zhiqi Huang, Zhiyi Huang, Zhao Xu, Zonghan Yang"
https://openalex.org/A5046162247,Dehao Zhang,https://openalex.org/W4407246849,Spike-VAD: Efficient and Robust Spiking Neural Network for Voice Activity Detection,https://doi.org/10.1109/tcds.2025.3540020,2025,2025-01-01,article,en,0,"Speech and Audio Processing, Music and Audio Processing, Speech Recognition and Synthesis","Kexin Shi, Mengshu Hou, Xiaoling Luo, Hanwen Liu, Jingya Wang"
https://openalex.org/A5046162247,Dehao Zhang,https://openalex.org/W4408356257,Memory-Free and Parallel Computation for Quantized Spiking Neural Networks,https://doi.org/10.1109/icassp49660.2025.10890361,2025,2025-03-12,article,en,0,"Advanced Memory and Neural Computing, Neural Networks and Applications, Neural Networks and Reservoir Computing","Shuai Wang, Yichen Xiao, Wenjie Wei, Yimeng Shan, Malu Zhang, Yang Yang"
