Author,No. Papers,Notes,OA_Profile,OA_ID,Papers
Angang Du,1,,https://openalex.org/A5088792207,A5088792207,1
Chenzhuang Du,1,,https://openalex.org/A5044355459,A5044355459,1
Dehao Zhang,1,,https://openalex.org/A5046162247,A5046162247,1
Enming Yuan,1,,https://openalex.org/A5073001520,A5073001520,1
Enzhe Lu,1,,https://openalex.org/A5049660040,A5049660040,1
Flood Sung,1,,https://openalex.org/A5065232789,A5065232789,1
Guokun Lai,1,,https://openalex.org/A5015579277,A5015579277,1
Hao Ding,1,,https://openalex.org/A5005056208,A5005056208,1
Hao Hu,1,,https://openalex.org/A5084214981,A5084214981,1
Hao Zhang,1,,https://openalex.org/A5100732538,A5100732538,1
Haotian Yao,1,,https://openalex.org/A5071838616,A5071838616,1
Hongcheng Gao,1,,https://openalex.org/A5110370692,A5110370692,1
Huabin Zheng,1,,https://openalex.org/A5111649512,A5111649512,1
Jianlin Su,1,,https://openalex.org/A5078222384,A5078222384,1
Jianzhou Wang,1,,https://openalex.org/A5044720245,A5044720245,1
Junjie Yan,1,,https://openalex.org/A5028565054,A5028565054,1
Junming Liu,1,,https://openalex.org/A5102863611,A5102863611,1
Kimi Team,1,,https://openalex.org/A5116011620,A5116011620,1
Longhui Yu,1,,https://openalex.org/A5049419584,A5049419584,1
Mengjiao Dong,1,,https://openalex.org/A5078616374,A5078616374,1
Shaowei Liu,1,,https://openalex.org/A5102884727,A5102884727,1
W. He,1,,https://openalex.org/A5014305191,A5014305191,1
Weixiao Huang,1,,https://openalex.org/A5013900180,A5013900180,1
X. H. Zhou,1,,https://openalex.org/A5063131799,A5063131799,1
Xingzhe Wu,1,,https://openalex.org/A5086375722,A5086375722,1
Xinxing Zu,1,,https://openalex.org/A5028097242,A5028097242,1
Y. Liu,1,,https://openalex.org/A5113647044,A5113647044,1
Y. Q. Wang,1,,https://openalex.org/A5075248805,A5075248805,1
Yangyang Hu,1,,https://openalex.org/A5101075955,A5101075955,1
Yanru Chen,1,,https://openalex.org/A5100695889,A5100695889,1
Yiping Bao,1,,https://openalex.org/A5043216848,A5043216848,1
Yulun Du,1,,https://openalex.org/A5012998749,A5012998749,1
Yuxin Wu,1,,https://openalex.org/A5014209482,A5014209482,1
Yuzhi Wang,1,,https://openalex.org/A5100669047,A5100669047,1
Zaida Zhou,1,,https://openalex.org/A5113154912,A5113154912,1
Zhaowei Li,1,,https://openalex.org/A5108055321,A5108055321,1
Zheng Zhang,1,,https://openalex.org/A5115596378,A5115596378,1
Zhilin Yang,1,,https://openalex.org/A5050303775,A5050303775,1
Zhiqi Huang,1,,https://openalex.org/A5103191012,A5103191012,1
Zhiyi Huang,1,,https://openalex.org/A5090297023,A5090297023,1
